incident_id,train_id,station_name,incident_time,delay_minutes,incident_type,severity,resolved
INC_000064,TRN_162,Mohan Estate,2026-03-16 10:16:00,32,Medical Emergency,Critical,True
INC_000065,TRN_162,Kailash Colony,2026-03-04 17:22:00,20,Power Failure,High,True
INC_000066,TRN_156,Hazrat Nizamuddin,2026-03-15 12:34:00,31,Power Failure,Critical,True
INC_000067,TRN_078,Netaji Subhash Place,2026-03-04 09:56:00,13,Passenger Congestion,Medium,True
INC_000068,TRN_022,Govind Puri,2026-03-04 09:07:00,44,Door Issue,Critical,True
INC_000069,TRN_154,Noida Sector 62,2026-03-07 17:30:00,30,Passenger Congestion,Critical,True
INC_000070,TRN_173,Jhilmil,2026-03-11 11:51:00,23,Passenger Congestion,High,True
INC_000071,TRN_097,Dilli Haat - INA,2026-03-03 16:04:00,29,Passenger Congestion,High,True
INC_000072,TRN_145,Govind Puri,2026-03-06 17:00:00,43,Power Failure,Critical,True
INC_000073,TRN_035,Vishwa Vidyalaya,2026-03-25 07:36:00,18,Door Issue,High,True
INC_000074,TRN_146,Lal Quila,2026-03-02 10:30:00,14,Power Failure,Medium,True
INC_000075,TRN_157,NHPC Chowk,2026-03-07 16:28:00,8,Signal Failure,Medium,True
INC_000076,TRN_059,Dwarka Sector 10,2026-03-08 07:18:00,12,Track Maintenance,Medium,True
INC_000077,TRN_165,Govind Puri,2026-03-17 16:56:00,32,Signal Failure,Critical,True
INC_000078,TRN_002,Seelampur,2026-03-01 22:34:00,5,Power Failure,Medium,True
INC_000079,TRN_171,Welcome,2026-03-10 14:21:00,6,Power Failure,Medium,True
INC_000080,TRN_194,Dilli Haat - INA,2026-03-22 07:10:00,25,Track Maintenance,High,True
INC_000081,TRN_064,Dwarka Sector 8,2026-03-25 12:40:00,39,Power Failure,Critical,True
INC_000082,TRN_080,Shahdara,2026-03-08 21:03:00,5,Signal Failure,Medium,True
INC_000083,TRN_001,Kanhaiya Nagar,2026-03-02 19:57:00,28,Medical Emergency,High,True
INC_000084,TRN_070,ITO,2026-03-24 08:42:00,5,Power Failure,Medium,True
INC_000085,TRN_094,Jamia Millia Islamia,2026-03-05 17:29:00,11,Power Failure,Medium,True
INC_000086,TRN_089,Green Park,2026-03-29 15:36:00,28,Track Maintenance,High,True
INC_000087,TRN_148,Badarpur Border,2026-03-20 08:57:00,6,Signal Failure,Medium,True
INC_000088,TRN_137,Welcome,2026-03-14 13:36:00,30,Medical Emergency,Critical,True
INC_000089,TRN_185,Shalimar Bagh,2026-03-19 22:25:00,40,Door Issue,Critical,True
INC_000090,TRN_151,South Extension,2026-03-02 08:00:00,26,Passenger Congestion,High,True
INC_000091,TRN_070,Lal Quila,2026-03-26 22:00:00,35,Signal Failure,Critical,True
INC_000092,TRN_102,Akshardham,2026-03-29 15:27:00,5,Signal Failure,Medium,False
INC_000093,TRN_067,Jangpura,2026-03-05 16:53:00,41,Medical Emergency,Critical,True
INC_000094,TRN_066,Kashmere Gate,2026-03-30 21:09:00,31,Track Maintenance,Critical,True
INC_000095,TRN_185,Trilokpuri Sanjay Lake,2026-03-09 20:23:00,45,Passenger Congestion,Critical,True
INC_000096,TRN_167,Rohini East,2026-03-22 12:51:00,7,Power Failure,Medium,True
INC_000097,TRN_078,Tis Hazari,2026-03-14 06:41:00,7,Power Failure,Medium,True
INC_000098,TRN_174,Botanical Garden,2026-03-28 18:52:00,20,Power Failure,High,True
INC_000099,TRN_101,Kalkaji Mandir,2026-03-23 17:31:00,26,Power Failure,High,True
INC_000100,TRN_036,Mohan Estate,2026-03-27 21:46:00,26,Door Issue,High,True
INC_000101,TRN_173,Mohan Nagar,2026-03-01 09:30:00,23,Track Maintenance,High,True
INC_000102,TRN_121,Kirti Nagar,2026-03-17 07:40:00,18,Power Failure,High,True
INC_000103,TRN_048,Lok Kalyan Marg,2026-03-11 13:48:00,33,Power Failure,Critical,True
INC_000104,TRN_135,Kalkaji Mandir,2026-03-18 22:50:00,26,Passenger Congestion,High,True
INC_000105,TRN_169,Shahdara,2026-03-26 06:11:00,2,Door Issue,Low,True
INC_000106,TRN_004,East Azad Nagar,2026-03-25 12:15:00,28,Signal Failure,High,True
INC_000107,TRN_068,Palam,2026-03-23 17:42:00,45,Passenger Congestion,Critical,True
INC_000108,TRN_084,GTB Nagar,2026-03-25 13:11:00,16,Power Failure,High,True
INC_000109,TRN_055,Munirka,2026-03-28 08:11:00,43,Signal Failure,Critical,True
INC_000110,TRN_029,Lajpat Nagar,2026-03-07 22:50:00,18,Track Maintenance,High,True
INC_000111,TRN_115,Mayur Vihar-I,2026-03-13 13:47:00,33,Passenger Congestion,Critical,True
INC_000112,TRN_200,Sarojini Nagar,2026-03-30 19:01:00,26,Passenger Congestion,High,True
INC_000113,TRN_015,Karkarduma,2026-03-02 10:08:00,25,Power Failure,High,True
INC_000114,TRN_164,Dwarka Sector 14,2026-03-09 07:27:00,22,Track Maintenance,High,True
INC_000115,TRN_186,Rajouri Garden,2026-03-12 22:29:00,5,Track Maintenance,Medium,True
INC_000116,TRN_138,Janpath,2026-03-29 22:19:00,19,Medical Emergency,High,True
INC_000117,TRN_111,Tilak Nagar,2026-03-16 14:38:00,44,Medical Emergency,Critical,True
INC_000118,TRN_065,Dashrathpuri,2026-03-07 11:53:00,22,Medical Emergency,High,True
INC_000119,TRN_055,Sadar Bazar Cantonment,2026-03-03 14:49:00,25,Medical Emergency,High,True
INC_000120,TRN_175,Jahangirpuri,2026-03-12 20:06:00,7,Track Maintenance,Medium,True
INC_000121,TRN_097,"Rohini Sector 18, 19",2026-03-06 09:57:00,13,Power Failure,Medium,True
INC_000122,TRN_133,Rajiv Chowk,2026-03-11 09:11:00,36,Door Issue,Critical,True
INC_000123,TRN_076,Mohan Estate,2026-03-01 22:57:00,7,Power Failure,Medium,True
INC_000124,TRN_170,Shaheed Nagar,2026-03-27 17:16:00,29,Passenger Congestion,High,True
INC_000125,TRN_021,Hauz Khas,2026-03-21 17:47:00,39,Signal Failure,Critical,True
INC_000126,TRN_064,Noida Sector 18,2026-03-20 13:08:00,7,Medical Emergency,Medium,True
INC_000127,TRN_087,Dilshad Garden,2026-03-20 10:32:00,19,Medical Emergency,High,False
INC_000128,TRN_183,Haiderpur Badli Mor,2026-03-02 19:18:00,21,Track Maintenance,High,True
INC_000129,TRN_083,Kanhaiya Nagar,2026-03-17 10:15:00,41,Track Maintenance,Critical,True
INC_000130,TRN_025,Model Town,2026-03-14 16:22:00,2,Signal Failure,Low,True
INC_000131,TRN_021,Hauz Khas,2026-03-23 15:47:00,34,Door Issue,Critical,True
INC_000132,TRN_058,Shaheed Nagar,2026-03-07 07:52:00,34,Track Maintenance,Critical,True
INC_000133,TRN_168,Maujpur - Babarpur,2026-03-17 06:24:00,39,Passenger Congestion,Critical,True
INC_000134,TRN_033,Keshav Puram,2026-03-30 21:59:00,45,Door Issue,Critical,True
INC_000135,TRN_154,Rajiv Chowk,2026-03-04 10:25:00,42,Door Issue,Critical,True
INC_000136,TRN_024,Chawri Bazar,2026-03-07 13:56:00,41,Door Issue,Critical,True
INC_000137,TRN_199,Sadar Bazar Cantonment,2026-03-03 11:21:00,33,Door Issue,Critical,True
INC_000138,TRN_031,Okhla Bird Sanctuary,2026-03-26 19:46:00,40,Medical Emergency,Critical,True
INC_000139,TRN_025,IFFCO Chowk,2026-03-08 13:16:00,30,Signal Failure,Critical,True
INC_000140,TRN_075,Okhla NSIC,2026-03-27 09:34:00,33,Signal Failure,Critical,True
INC_000141,TRN_118,Ashram,2026-03-21 13:24:00,41,Door Issue,Critical,True
INC_000142,TRN_127,Tagore Garden,2026-03-08 14:00:00,5,Door Issue,Medium,True
INC_000143,TRN_193,Shastri Nagar,2026-03-21 06:14:00,10,Track Maintenance,Medium,True
INC_000144,TRN_150,Shiv Vihar,2026-03-05 09:17:00,30,Passenger Congestion,Critical,True
INC_000145,TRN_052,Kalkaji Mandir,2026-03-17 20:57:00,14,Signal Failure,Medium,True
INC_000146,TRN_192,Jawaharlal Nehru Stadium,2026-03-10 13:05:00,29,Passenger Congestion,High,True
INC_000147,TRN_095,Mandi House,2026-03-04 08:50:00,31,Track Maintenance,Critical,True
INC_000148,TRN_068,Chirag Delhi,2026-03-22 13:28:00,43,Door Issue,Critical,True
INC_000149,TRN_114,"Rohini Sector 18, 19",2026-03-30 19:09:00,5,Power Failure,Medium,True
INC_000150,TRN_113,Shastri Park,2026-03-25 15:23:00,28,Signal Failure,High,True
INC_000151,TRN_030,Inderlok,2026-03-19 13:30:00,40,Power Failure,Critical,True
INC_000152,TRN_136,Khan Market,2026-03-04 08:07:00,41,Door Issue,Critical,True
INC_000153,TRN_097,Dilli Haat - INA,2026-03-22 20:15:00,9,Track Maintenance,Medium,True
INC_000154,TRN_110,Dilli Haat - INA,2026-03-14 18:43:00,30,Power Failure,Critical,True
INC_000155,TRN_056,Nehru Place,2026-03-30 06:51:00,17,Power Failure,High,True
INC_000156,TRN_195,Jasola Vihar Shaheen Bagh,2026-03-03 21:16:00,4,Door Issue,Low,True
INC_000157,TRN_088,Jama Masjid,2026-03-23 10:51:00,22,Door Issue,High,True
INC_000158,TRN_172,Badarpur Border,2026-03-07 12:46:00,15,Power Failure,High,True
INC_000159,TRN_050,Panchsheel Park,2026-03-02 07:51:00,3,Medical Emergency,Low,True
INC_000160,TRN_050,Vasant Vihar,2026-03-07 21:07:00,18,Track Maintenance,High,True
INC_000161,TRN_029,Lajpat Nagar,2026-03-14 19:32:00,43,Passenger Congestion,Critical,True
INC_000162,TRN_148,Badarpur Border,2026-03-14 18:09:00,6,Door Issue,Medium,True
INC_000163,TRN_104,South Extension,2026-03-30 12:31:00,18,Track Maintenance,High,True
INC_000164,TRN_039,Patel Chowk,2026-03-11 18:06:00,32,Power Failure,Critical,True
INC_000165,TRN_109,Azadpur,2026-03-10 18:46:00,23,Door Issue,High,True
INC_000166,TRN_011,Adarsh Nagar,2026-03-07 17:36:00,15,Track Maintenance,High,True
INC_000167,TRN_183,Qutab Minar,2026-03-18 12:45:00,35,Medical Emergency,Critical,True
INC_000168,TRN_109,Central Secretariat,2026-03-23 18:58:00,27,Track Maintenance,High,True
INC_000169,TRN_162,Central Secretariat,2026-03-19 06:20:00,45,Passenger Congestion,Critical,True
INC_000170,TRN_089,Jahangirpuri,2026-03-02 18:08:00,18,Track Maintenance,High,True
INC_000171,TRN_022,Badarpur Border,2026-03-15 11:41:00,40,Passenger Congestion,Critical,True
INC_000172,TRN_077,Seelampur,2026-03-02 15:17:00,31,Track Maintenance,Critical,True
INC_000173,TRN_024,Kashmere Gate,2026-03-17 13:21:00,12,Power Failure,Medium,True
INC_000174,TRN_039,Civil Lines,2026-03-25 12:38:00,33,Passenger Congestion,Critical,True
INC_000175,TRN_085,Jawaharlal Nehru Stadium,2026-03-16 16:43:00,44,Power Failure,Critical,True
INC_000176,TRN_198,Noida Sector 16,2026-03-18 12:21:00,27,Medical Emergency,High,True
INC_000177,TRN_138,Jangpura,2026-03-05 18:32:00,41,Passenger Congestion,Critical,True
INC_000178,TRN_158,Panchsheel Park,2026-03-26 11:32:00,11,Medical Emergency,Medium,True
INC_000179,TRN_183,GTB Nagar,2026-03-13 14:25:00,28,Medical Emergency,High,True
INC_000180,TRN_151,Hazrat Nizamuddin,2026-03-14 20:06:00,30,Signal Failure,Critical,True
INC_000181,TRN_118,Majlis Park,2026-03-04 08:36:00,11,Signal Failure,Medium,True
INC_000182,TRN_105,Rajouri Garden,2026-03-28 14:32:00,41,Signal Failure,Critical,True
INC_000183,TRN_151,East Azad Nagar,2026-03-19 11:01:00,33,Door Issue,Critical,True
INC_000184,TRN_197,Kanhaiya Nagar,2026-03-03 19:55:00,45,Passenger Congestion,Critical,True
INC_000185,TRN_041,Shakurpur,2026-03-15 20:16:00,36,Passenger Congestion,Critical,True
INC_000186,TRN_151,Shalimar Bagh,2026-03-29 11:35:00,17,Door Issue,High,True
INC_000187,TRN_001,Mohan Nagar,2026-03-07 08:51:00,5,Medical Emergency,Medium,True
INC_000188,TRN_121,Noida Sector 18,2026-03-14 06:03:00,25,Track Maintenance,High,True
INC_000189,TRN_028,Karol Bagh,2026-03-15 17:48:00,41,Signal Failure,Critical,True
INC_000190,TRN_019,Noida Electronic City,2026-03-30 12:03:00,30,Door Issue,Critical,True
INC_000191,TRN_034,Kanhaiya Nagar,2026-03-04 07:33:00,15,Medical Emergency,High,True
INC_000192,TRN_077,Shyam Park,2026-03-04 14:23:00,43,Track Maintenance,Critical,True
INC_000193,TRN_144,Arjan Garh,2026-03-30 15:44:00,31,Power Failure,Critical,True
INC_000194,TRN_094,Jamia Millia Islamia,2026-03-25 19:26:00,16,Door Issue,High,True
INC_000195,TRN_039,Jor Bagh,2026-03-23 12:31:00,19,Passenger Congestion,High,True
INC_000196,TRN_049,Noida Sector 62,2026-03-05 18:39:00,28,Signal Failure,High,True
INC_000197,TRN_079,New Delhi,2026-03-20 17:05:00,2,Track Maintenance,Low,True
INC_000198,TRN_065,Botanical Garden,2026-03-05 17:31:00,31,Power Failure,Critical,True
INC_000199,TRN_089,AIIMS,2026-03-26 15:28:00,11,Passenger Congestion,Medium,True
INC_000200,TRN_131,Sant Surdas (Sihi),2026-03-07 20:56:00,44,Passenger Congestion,Critical,False
INC_000201,TRN_098,ESI Basaidarapur,2026-03-15 06:05:00,28,Door Issue,High,True
INC_000202,TRN_053,Kalindi Kunj,2026-03-09 08:01:00,7,Door Issue,Medium,True
INC_000203,TRN_189,Okhla Bird Sanctuary,2026-03-13 16:09:00,21,Passenger Congestion,High,True
INC_000204,TRN_127,Moti Nagar,2026-03-15 15:52:00,27,Passenger Congestion,High,True
INC_000205,TRN_078,Keshav Puram,2026-03-20 15:26:00,11,Door Issue,Medium,True
INC_000206,TRN_108,Supreme Court,2026-03-14 08:55:00,12,Passenger Congestion,Medium,False
INC_000207,TRN_028,Akshardham,2026-03-22 14:55:00,36,Power Failure,Critical,True
INC_000208,TRN_184,Shastri Nagar,2026-03-16 08:38:00,15,Track Maintenance,High,True
INC_000209,TRN_134,Delhi Gate,2026-03-12 13:50:00,17,Door Issue,High,True
INC_000210,TRN_011,"Rohini Sector 18, 19",2026-03-08 10:25:00,18,Track Maintenance,High,True
INC_000211,TRN_034,Mansarovar Park,2026-03-26 12:50:00,23,Power Failure,High,True
INC_000212,TRN_066,Mewala Maharajpur,2026-03-29 06:51:00,41,Door Issue,Critical,True
INC_000213,TRN_030,Rithala,2026-03-05 18:49:00,28,Signal Failure,High,True
INC_000214,TRN_020,Maujpur - Babarpur,2026-03-06 16:22:00,10,Passenger Congestion,Medium,True
INC_000215,TRN_060,Pitampura,2026-03-03 10:04:00,25,Track Maintenance,High,True
INC_000216,TRN_033,Shastri Park,2026-03-01 19:39:00,23,Signal Failure,High,True
INC_000217,TRN_079,Green Park,2026-03-03 12:31:00,38,Power Failure,Critical,True
INC_000218,TRN_124,Kohat Enclave,2026-03-06 21:30:00,35,Medical Emergency,Critical,True
INC_000219,TRN_164,Moti Nagar,2026-03-24 11:10:00,16,Track Maintenance,High,True
INC_000220,TRN_073,Kailash Colony,2026-03-30 13:10:00,44,Signal Failure,Critical,True
INC_000221,TRN_032,Sikanderpur,2026-03-23 22:29:00,21,Track Maintenance,High,False
INC_000222,TRN_185,Delhi Cantt,2026-03-26 06:44:00,31,Door Issue,Critical,True
INC_000223,TRN_196,Shalimar Bagh,2026-03-02 20:14:00,15,Signal Failure,High,True
INC_000224,TRN_143,Chhattarpur,2026-03-28 16:00:00,26,Door Issue,High,True
INC_000225,TRN_062,Shaheed Nagar,2026-03-02 11:20:00,13,Medical Emergency,Medium,True
INC_000226,TRN_136,Lajpat Nagar,2026-03-29 08:54:00,44,Power Failure,Critical,True
INC_000227,TRN_172,Bata Chowk,2026-03-04 13:19:00,43,Power Failure,Critical,True
INC_000228,TRN_008,Okhla NSIC,2026-03-10 22:20:00,19,Medical Emergency,High,True
INC_000229,TRN_027,South Extension,2026-03-17 19:10:00,7,Track Maintenance,Medium,True
INC_000230,TRN_075,Okhla NSIC,2026-03-30 12:59:00,7,Power Failure,Medium,True
INC_000231,TRN_101,Sant Surdas (Sihi),2026-03-08 21:46:00,40,Passenger Congestion,Critical,True
INC_000232,TRN_063,Munirka,2026-03-22 08:02:00,5,Medical Emergency,Medium,True
INC_000233,TRN_152,Rajendra Place,2026-03-21 16:17:00,13,Power Failure,Medium,True
INC_000234,TRN_142,Pul Bangash,2026-03-21 15:44:00,32,Medical Emergency,Critical,True
INC_000235,TRN_052,Jama Masjid,2026-03-29 19:27:00,25,Power Failure,High,True
INC_000236,TRN_146,Jasola Apollo,2026-03-03 11:54:00,32,Power Failure,Critical,True
INC_000237,TRN_124,Shastri Nagar,2026-03-04 12:50:00,23,Signal Failure,High,True
INC_000238,TRN_078,Seelampur,2026-03-13 19:12:00,14,Signal Failure,Medium,True
INC_000239,TRN_024,Jor Bagh,2026-03-28 17:49:00,3,Signal Failure,Low,True
INC_000240,TRN_151,Ashram,2026-03-20 06:05:00,31,Track Maintenance,Critical,True
INC_000241,TRN_074,Central Secretariat,2026-03-17 09:19:00,14,Signal Failure,Medium,True
INC_000242,TRN_080,Shaheed Nagar,2026-03-11 14:53:00,24,Signal Failure,High,True
INC_000243,TRN_015,Majlis Park,2026-03-27 09:48:00,21,Medical Emergency,High,True
INC_000244,TRN_086,Janpath,2026-03-15 13:42:00,23,Power Failure,High,True
INC_000245,TRN_152,Tagore Garden,2026-03-02 20:29:00,32,Track Maintenance,Critical,True
INC_000246,TRN_171,Hindon River,2026-03-14 17:13:00,40,Medical Emergency,Critical,True
INC_000247,TRN_176,Dwarka Sector 12,2026-03-29 20:56:00,10,Power Failure,Medium,True
INC_000248,TRN_011,Dilli Haat - INA,2026-03-04 18:37:00,29,Medical Emergency,High,True
INC_000249,TRN_036,Sant Surdas (Sihi),2026-03-09 16:33:00,42,Passenger Congestion,Critical,True
INC_000250,TRN_185,Sarojini Nagar,2026-03-30 22:16:00,32,Signal Failure,Critical,True
INC_000251,TRN_075,Munirka,2026-03-05 19:35:00,3,Passenger Congestion,Low,True
INC_000252,TRN_144,Rajiv Chowk,2026-03-07 14:28:00,41,Passenger Congestion,Critical,False
INC_000253,TRN_173,Hindon River,2026-03-03 09:15:00,25,Passenger Congestion,High,True
INC_000254,TRN_183,Chhattarpur,2026-03-22 08:31:00,35,Door Issue,Critical,False
INC_000255,TRN_109,Malviya Nagar,2026-03-18 12:45:00,11,Medical Emergency,Medium,True
INC_000256,TRN_191,Dilli Haat - INA,2026-03-02 08:45:00,24,Medical Emergency,High,True
INC_000257,TRN_136,Central Secretariat,2026-03-10 12:48:00,23,Passenger Congestion,High,True
INC_000258,TRN_052,Mohan Estate,2026-03-16 15:35:00,43,Medical Emergency,Critical,True
INC_000259,TRN_140,Majlis Park,2026-03-27 07:20:00,5,Passenger Congestion,Medium,True
INC_000260,TRN_148,Mandi House,2026-03-07 20:49:00,3,Signal Failure,Low,True
INC_000261,TRN_091,Okhla Bird Sanctuary,2026-03-16 13:38:00,34,Power Failure,Critical,True
INC_000262,TRN_112,Barakhamba Road,2026-03-15 10:21:00,44,Signal Failure,Critical,True
INC_000263,TRN_009,Dilshad Garden,2026-03-01 22:39:00,41,Track Maintenance,Critical,True
INC_000264,TRN_109,Chandni Chowk,2026-03-04 18:30:00,22,Track Maintenance,High,True
INC_000265,TRN_029,Sarojini Nagar,2026-03-17 11:02:00,36,Medical Emergency,Critical,True
INC_000266,TRN_168,Mayur Vihar Pocket 1,2026-03-14 21:51:00,40,Signal Failure,Critical,True
INC_000267,TRN_014,Chawri Bazar,2026-03-22 13:45:00,38,Door Issue,Critical,True
INC_000268,TRN_190,Lok Kalyan Marg,2026-03-21 20:27:00,40,Passenger Congestion,Critical,True
INC_000269,TRN_167,Inderlok,2026-03-24 17:18:00,39,Signal Failure,Critical,True
INC_000270,TRN_056,Badarpur Border,2026-03-11 19:56:00,26,Power Failure,High,True
INC_000271,TRN_084,IFFCO Chowk,2026-03-14 21:35:00,28,Track Maintenance,High,True
INC_000272,TRN_005,Vidhan Sabha,2026-03-13 10:27:00,42,Passenger Congestion,Critical,False
INC_000273,TRN_151,Sir M. Vishveshwaraya Moti Bagh,2026-03-28 11:46:00,28,Passenger Congestion,High,True
INC_000274,TRN_184,Shyam Park,2026-03-19 09:03:00,22,Door Issue,High,True
INC_000275,TRN_173,Mansarovar Park,2026-03-26 07:45:00,37,Signal Failure,Critical,False
INC_000276,TRN_005,Samaypur Badli,2026-03-18 21:31:00,14,Passenger Congestion,Medium,True
INC_000277,TRN_037,Jahangirpuri,2026-03-19 07:35:00,20,Signal Failure,High,True
INC_000278,TRN_090,Nehru Place,2026-03-23 15:14:00,33,Passenger Congestion,Critical,True
INC_000279,TRN_067,Escorts Mujesar,2026-03-19 17:48:00,29,Track Maintenance,High,True
INC_000280,TRN_050,Sadar Bazar Cantonment,2026-03-03 10:14:00,2,Passenger Congestion,Low,True
INC_000281,TRN_180,Shastri Nagar,2026-03-11 11:24:00,13,Track Maintenance,Medium,True
INC_000282,TRN_090,Sector 28,2026-03-13 09:16:00,39,Power Failure,Critical,True
INC_000283,TRN_096,Trilokpuri Sanjay Lake,2026-03-04 15:29:00,2,Passenger Congestion,Low,True
INC_000284,TRN_148,Jangpura,2026-03-17 11:37:00,25,Track Maintenance,High,True
INC_000285,TRN_101,Escorts Mujesar,2026-03-03 09:24:00,32,Signal Failure,Critical,True
INC_000286,TRN_051,Netaji Subhash Place,2026-03-30 09:10:00,37,Door Issue,Critical,True
