train_id,line,departure_station,arrival_station,scheduled_departure,scheduled_arrival,travel_time_min,stops,frequency,status,platform,direction,coach_count,ac_type
DMT-B019,Blue Line,Dwarka Sector 8,Rajendra Place,10:50,11:14,24,8,Every 7 min,On Time,4,Down,8,Full AC
DMT-B018,Blue Line,Karol Bagh,Noida Sector 15,13:45,14:06,21,7,Every 7 min,On Time,4,Down,6,Full AC
DMT-V017,Violet Line,Delhi Gate,Kailash Colony,05:00,05:20,20,10,Every 3 min,Cancelled,4,Up,8,Full AC
DMT-Y001,Yellow Line,Patel Chowk,Malviya Nagar,05:10,05:37,27,9,Every 5 min,On Time,1,Down,6,Full AC
DMT-V017,Violet Line,Central Secretariat,Harkesh Nagar Okhla,23:40,23:55,30,10,Every 15 min,On Time,3,Up,6,Full AC
DMT-Y005,Yellow Line,GTB Nagar,MG Road,16:00,17:21,81,27,Every 7 min,On Time,4,Up,4,Full AC
DMT-V023,Violet Line,Lal Quila,Jasola Apollo,15:50,16:24,34,17,Every 7 min,On Time,4,Down,6,Non-AC
DMT-R005,Red Line,Keshav Puram,Inderlok,22:50,22:54,4,2,Every 5 min,On Time,3,Up,8,Full AC
DMT-Y008,Yellow Line,Ghitorni,Sikanderpur,13:50,13:56,6,3,Every 15 min,On Time,2,Down,4,Full AC
DMT-V010,Violet Line,ITO,Harkesh Nagar Okhla,12:10,12:49,39,13,Every 7 min,On Time,4,Down,4,Full AC
DMT-R021,Red Line,Rithala,Kohat Enclave,05:20,05:32,12,4,Every 5 min,Delayed,3,Up,4,Non-AC
DMT-R013,Red Line,Pratap Nagar,Kashmere Gate,10:50,10:59,9,3,Every 5 min,On Time,1,Up,4,Full AC
DMT-G020,Green Line,Paschim Vihar East,Peeragarhi,20:10,20:16,6,2,Every 10 min,On Time,2,Up,4,Non-AC
DMT-G018,Green Line,Ashok Park Main,Nangloi,15:25,15:43,18,9,Every 15 min,On Time,4,Down,4,Full AC
DMT-G008,Green Line,Paschim Vihar East,Maharaja Surajmal Stadium,12:15,12:23,8,4,Every 5 min,On Time,1,Up,6,Full AC
DMT-G023,Green Line,Paschim Vihar West,Mundka,12:00,12:14,14,7,Every 7 min,Running,2,Up,4,Non-AC
DMT-V009,Violet Line,Khan Market,Kalkaji Mandir,09:30,09:51,21,7,Every 15 min,On Time,3,Down,8,Full AC
DMT-R012,Red Line,Keshav Puram,Pratap Nagar,22:35,22:47,12,4,Every 7 min,On Time,3,Up,4,Full AC
DMT-G021,Green Line,Paschim Vihar East,Mundka,05:40,06:04,24,8,Every 7 min,On Time,3,Down,6,Full AC
DMT-B013,Blue Line,Uttam Nagar East,Rajiv Chowk,05:05,05:21,16,8,Every 7 min,On Time,3,Up,6,Full AC
DMT-R024,Red Line,Pitampura,Keshav Puram,17:10,17:16,6,3,Every 3 min,On Time,4,Up,6,Non-AC
DMT-V015,Violet Line,Kalkaji Mandir,Harkesh Nagar Okhla,15:20,15:26,6,2,Every 5 min,On Time,1,Down,6,Full AC
DMT-V002,Violet Line,Delhi Gate,Escorts Mujesar,12:35,13:59,84,28,Every 15 min,On Time,4,Down,4,Non-AC
DMT-V016,Violet Line,ITO,Mohan Estate,07:50,08:22,32,16,Every 15 min,Delayed,1,Up,8,Full AC
DMT-G008,Green Line,Kirti Nagar,Nangloi,05:10,05:43,33,11,Every 7 min,Running,4,Up,6,Full AC
DMT-G012,Green Line,Paschim Vihar East,Rajdhani Park,08:40,09:01,21,7,Every 7 min,On Time,1,Up,8,Full AC
DMT-G020,Green Line,Satguru Ram Singh Marg,Udyog Nagar,09:10,09:26,16,8,Every 5 min,On Time,2,Down,4,Non-AC
DMT-R022,Red Line,Keshav Puram,Seelampur,17:05,17:23,18,9,Every 15 min,On Time,3,Down,6,Full AC
DMT-B016,Blue Line,Barakhamba Road,Noida Sector 15,18:00,18:15,15,5,Every 5 min,On Time,4,Up,4,Full AC
DMT-Y025,Yellow Line,Kashmere Gate,Chandni Chowk,17:35,17:37,2,1,Every 5 min,On Time,1,Down,8,Full AC
DMT-V007,Violet Line,Moolchand,Raja Nahar Singh,11:30,12:30,60,20,Every 5 min,On Time,1,Up,6,Full AC
DMT-Y009,Yellow Line,GTB Nagar,Chawri Bazar,15:15,15:27,12,6,Every 5 min,On Time,2,Up,8,Full AC
DMT-Y020,Yellow Line,Race Course,Green Park,09:00,09:12,12,4,Every 10 min,Running,3,Down,6,Full AC
DMT-R008,Red Line,Pitampura,Netaji Subhash Place,17:10,17:14,4,2,Every 3 min,Running,3,Down,6,Non-AC
DMT-G011,Green Line,Madipur,Nangloi Railway Station,12:55,13:16,21,7,Every 10 min,On Time,3,Down,8,Full AC
DMT-B004,Blue Line,Karol Bagh,Rajiv Chowk,10:10,10:12,2,1,Every 7 min,Running,3,Down,6,Non-AC
DMT-R023,Red Line,Netaji Subhash Place,Welcome,08:05,08:38,33,11,Every 3 min,Running,2,Up,8,Full AC
DMT-V005,Violet Line,Mandi House,Mohan Estate,09:15,10:00,45,15,Every 15 min,On Time,4,Down,8,Full AC
DMT-G022,Green Line,Udyog Nagar,Maharaja Surajmal Stadium,18:25,18:28,3,1,Every 5 min,On Time,4,Up,6,Full AC
DMT-R002,Red Line,Shastri Park,Welcome,16:40,16:44,4,2,Every 10 min,On Time,4,Up,4,Full AC
DMT-V010,Violet Line,Mandi House,Kailash Colony,08:00,08:24,24,8,Every 3 min,Running,1,Down,4,Full AC
DMT-V012,Violet Line,Lajpat Nagar,Badkhal Mor,14:15,14:47,32,16,Every 3 min,On Time,1,Up,6,Full AC
DMT-B025,Blue Line,Rajouri Garden,Barakhamba Road,08:30,08:44,14,7,Every 5 min,On Time,3,Up,4,Full AC
DMT-R022,Red Line,Pitampura,Inderlok,18:25,18:35,10,5,Every 3 min,On Time,4,Up,6,Full AC
DMT-Y025,Yellow Line,Vidhan Sabha,Civil Lines,17:20,17:23,3,1,Every 7 min,On Time,1,Down,8,Full AC
DMT-B009,Blue Line,Karol Bagh,Noida City Centre,13:10,13:28,18,9,Every 5 min,On Time,2,Down,4,Full AC
DMT-V025,Violet Line,Moolchand,Kailash Colony,07:40,07:43,3,1,Every 5 min,On Time,4,Down,4,Full AC
DMT-V012,Violet Line,Lajpat Nagar,Old Faridabad,06:30,07:04,34,17,Every 3 min,Running,2,Up,6,Full AC
DMT-B003,Blue Line,Ramesh Nagar,Rajendra Place,09:55,09:57,2,1,Every 5 min,On Time,1,Down,4,Full AC
DMT-R010,Red Line,Welcome,Dilshad Garden,09:25,09:31,6,2,Every 5 min,On Time,1,Up,4,Full AC
DMT-V011,Violet Line,Mohan Estate,Tughlakabad,06:25,06:28,3,1,Every 7 min,On Time,4,Up,6,Full AC
DMT-R010,Red Line,Kanhaiya Nagar,Seelampur,06:10,06:26,16,8,Every 10 min,Delayed,3,Down,4,Full AC
DMT-G011,Green Line,Nangloi Railway Station,Rajdhani Park,07:55,07:57,2,1,Every 10 min,On Time,2,Up,6,Non-AC
DMT-G007,Green Line,Udyog Nagar,Brigadier Hoshiar Singh,21:30,21:48,18,6,Every 7 min,On Time,1,Down,6,Full AC
DMT-Y016,Yellow Line,GTB Nagar,Udyog Bhawan,17:25,17:47,22,11,Every 5 min,On Time,3,Up,4,Full AC
DMT-Y022,Yellow Line,Chandni Chowk,Chawri Bazar,16:20,16:22,2,1,Every 5 min,On Time,4,Down,6,Full AC
DMT-R021,Red Line,Pratap Nagar,Seelampur,13:35,13:50,15,5,Every 3 min,On Time,2,Down,6,Full AC
DMT-R025,Red Line,Kanhaiya Nagar,Dilshad Garden,20:40,21:02,22,11,Every 5 min,On Time,2,Down,8,Full AC
DMT-Y011,Yellow Line,Patel Chowk,Guru Dronacharya,10:45,11:33,48,16,Every 3 min,On Time,3,Down,4,Non-AC
DMT-B003,Blue Line,Rajiv Chowk,Indraprastha,09:25,09:37,12,4,Every 5 min,On Time,3,Up,6,Full AC
DMT-R001,Red Line,Rohini East,Kashmere Gate,17:05,17:38,33,11,Every 5 min,Cancelled,4,Down,6,Full AC
DMT-Y006,Yellow Line,Rajiv Chowk,Race Course,15:00,15:08,8,4,Every 5 min,Delayed,1,Up,8,Full AC
DMT-V012,Violet Line,Jasola Apollo,Badarpur Border,08:00,08:12,12,4,Every 3 min,On Time,3,Up,6,Full AC
DMT-G011,Green Line,Paschim Vihar East,Maharaja Surajmal Stadium,18:25,18:33,8,4,Every 7 min,On Time,4,Down,8,Full AC
DMT-R005,Red Line,Kohat Enclave,Dilshad Garden,23:05,23:33,28,14,Every 5 min,On Time,1,Down,8,Full AC
DMT-R003,Red Line,Rohini West,Kashmere Gate,10:15,10:39,24,12,Every 5 min,On Time,3,Up,8,Full AC
DMT-V012,Violet Line,Jama Masjid,Harkesh Nagar Okhla,23:10,23:40,30,15,Every 5 min,On Time,4,Down,6,Full AC
DMT-G015,Green Line,Kirti Nagar,Punjabi Bagh,22:25,22:34,9,3,Every 5 min,Running,3,Down,8,Full AC
DMT-Y016,Yellow Line,Rohini Sector 18,INA,20:40,21:20,40,20,Every 10 min,On Time,4,Up,8,Full AC
DMT-V021,Violet Line,Delhi Gate,Sector 28,07:25,08:34,69,23,Every 7 min,On Time,4,Up,6,Full AC
DMT-Y012,Yellow Line,Malviya Nagar,HUDA City Centre,18:05,18:38,33,11,Every 3 min,On Time,3,Up,6,Full AC
DMT-R021,Red Line,Kanhaiya Nagar,Kashmere Gate,16:40,16:52,12,6,Every 7 min,On Time,3,Down,4,Full AC
DMT-V008,Violet Line,Lal Quila,Sector 28,06:40,07:55,75,25,Every 15 min,On Time,3,Up,8,Non-AC
DMT-G008,Green Line,Satguru Ram Singh Marg,Peeragarhi,09:20,09:41,21,7,Every 5 min,On Time,4,Up,8,Non-AC
DMT-R021,Red Line,Rithala,Kohat Enclave,21:50,21:58,8,4,Every 15 min,On Time,1,Down,4,Full AC
DMT-V007,Violet Line,Tughlakabad,Escorts Mujesar,09:05,09:25,20,10,Every 5 min,Delayed,1,Down,8,Non-AC
DMT-B019,Blue Line,Dwarka,Uttam Nagar East,21:25,21:27,2,1,Every 7 min,On Time,3,Down,6,Full AC
DMT-Y020,Yellow Line,Azadpur,Sikanderpur,07:25,08:21,56,28,Every 3 min,Cancelled,1,Up,4,Full AC
DMT-G010,Green Line,Maharaja Surajmal Stadium,Nangloi Railway Station,08:45,08:49,4,2,Every 5 min,Running,4,Down,6,Full AC
DMT-R023,Red Line,Inderlok,Shahdara,23:55,23:55,18,9,Every 3 min,On Time,4,Down,4,Full AC
DMT-B022,Blue Line,Rajouri Garden,Yamuna Bank,11:00,11:33,33,11,Every 3 min,On Time,4,Up,4,Non-AC
DMT-B022,Blue Line,Rajiv Chowk,Pragati Maidan,14:45,14:54,9,3,Every 3 min,Delayed,3,Down,6,Full AC
DMT-G010,Green Line,Kirti Nagar,Udyog Nagar,23:20,23:38,18,9,Every 3 min,On Time,4,Up,4,Full AC
DMT-G004,Green Line,Nangloi Railway Station,Rajdhani Park,10:45,10:47,2,1,Every 5 min,On Time,1,Up,4,Full AC
DMT-V004,Violet Line,Mandi House,Raja Nahar Singh,09:25,10:46,81,27,Every 15 min,Running,3,Down,6,Full AC
DMT-B004,Blue Line,Kirti Nagar,Karol Bagh,22:55,23:03,8,4,Every 15 min,On Time,1,Up,8,Full AC
DMT-V012,Violet Line,Central Secretariat,Neelam Chowk Ajronda,22:55,23:55,66,22,Every 7 min,On Time,1,Up,8,Non-AC
DMT-Y009,Yellow Line,Rohini Sector 18,Qutab Minar,12:10,13:28,78,26,Every 5 min,Delayed,4,Up,8,Full AC
DMT-B006,Blue Line,Janakpuri West,Noida City Centre,18:50,19:35,45,15,Every 3 min,On Time,2,Down,4,Non-AC
DMT-V024,Violet Line,Lajpat Nagar,Govindpuri,18:45,18:55,10,5,Every 5 min,Delayed,3,Down,4,Full AC
DMT-R010,Red Line,Keshav Puram,Welcome,05:40,06:10,30,10,Every 15 min,Delayed,4,Up,4,Full AC
DMT-Y014,Yellow Line,Civil Lines,AIIMS,14:10,14:34,24,12,Every 7 min,On Time,3,Down,8,Full AC
DMT-Y024,Yellow Line,Udyog Bhawan,Qutab Minar,22:55,23:13,18,9,Every 3 min,Delayed,4,Down,4,Full AC
DMT-V019,Violet Line,Nehru Place,Badkhal Mor,20:10,20:36,26,13,Every 10 min,On Time,3,Down,8,Full AC
DMT-G011,Green Line,Satguru Ram Singh Marg,Ashok Park Main,16:50,16:53,3,1,Every 15 min,On Time,1,Down,6,Non-AC
DMT-G015,Green Line,Ashok Park Main,Shivaji Park,22:10,22:14,4,2,Every 5 min,On Time,4,Up,4,Full AC
DMT-V021,Violet Line,Kashmere Gate,Tughlakabad,17:15,18:18,63,21,Every 5 min,On Time,4,Down,4,Full AC
DMT-Y003,Yellow Line,AIIMS,Saket,21:10,21:18,8,4,Every 10 min,On Time,2,Up,4,Full AC
DMT-B011,Blue Line,Dwarka,Noida City Centre,23:15,23:55,51,17,Every 5 min,Running,1,Down,6,Full AC
DMT-Y006,Yellow Line,INA,IFFCO Chowk,05:55,06:37,42,14,Every 5 min,On Time,3,Down,4,Full AC
DMT-Y019,Yellow Line,Rohini Sector 18,Kashmere Gate,19:35,20:05,30,10,Every 7 min,On Time,2,Up,4,Full AC
DMT-R014,Red Line,Inderlok,Dilshad Garden,21:25,21:55,30,10,Every 5 min,On Time,2,Down,4,Full AC
DMT-V021,Violet Line,Moolchand,Mewala Maharajpur,08:35,09:01,26,13,Every 5 min,On Time,3,Down,8,Full AC
DMT-G008,Green Line,Shivaji Park,Rajdhani Park,20:30,20:48,18,9,Every 5 min,Delayed,4,Down,8,Full AC
DMT-Y024,Yellow Line,Haiderpur Badli Mor,Chandni Chowk,22:15,22:35,20,10,Every 3 min,On Time,4,Up,4,Full AC
DMT-B016,Blue Line,Dwarka Sector 8,Kirti Nagar,20:45,20:55,10,5,Every 10 min,Delayed,2,Up,8,Full AC
DMT-R005,Red Line,Rithala,Shastri Nagar,12:15,12:33,18,9,Every 7 min,On Time,3,Up,8,Full AC
DMT-Y025,Yellow Line,Azadpur,HUDA City Centre,09:10,10:12,62,31,Every 5 min,On Time,1,Down,8,Full AC
DMT-G025,Green Line,Peeragarhi,Nangloi,05:05,05:14,9,3,Every 7 min,On Time,1,Down,6,Full AC
DMT-V020,Violet Line,Jangpura,Harkesh Nagar Okhla,07:45,08:06,21,7,Every 15 min,On Time,3,Down,4,Full AC
DMT-B007,Blue Line,Rajouri Garden,Noida Sector 16,12:55,13:34,39,13,Every 7 min,On Time,2,Up,8,Full AC
DMT-B012,Blue Line,Uttam Nagar East,Noida Sector 16,12:25,12:55,30,15,Every 7 min,On Time,4,Up,4,Full AC
DMT-R023,Red Line,Kashmere Gate,Welcome,09:45,09:54,9,3,Every 10 min,On Time,1,Up,8,Non-AC
DMT-V010,Violet Line,Jama Masjid,Sector 28,13:00,14:12,72,24,Every 7 min,Delayed,4,Down,4,Full AC
DMT-B023,Blue Line,Rajouri Garden,Noida Sector 16,18:15,18:41,26,13,Every 7 min,On Time,4,Down,4,Full AC
DMT-B015,Blue Line,Rajendra Place,Noida Sector 15,14:25,14:49,24,8,Every 7 min,Delayed,2,Down,6,Full AC
DMT-G010,Green Line,Ashok Park Main,Madipur,12:30,12:36,6,3,Every 15 min,On Time,1,Up,4,Full AC
DMT-G001,Green Line,Paschim Vihar East,Brigadier Hoshiar Singh,13:40,13:58,18,9,Every 15 min,On Time,4,Up,4,Full AC
DMT-B012,Blue Line,Kirti Nagar,Mandi House,11:45,12:06,21,7,Every 7 min,Cancelled,1,Down,4,Full AC
DMT-Y012,Yellow Line,Jahangirpuri,Sultanpur,16:15,17:07,52,26,Every 5 min,Running,1,Up,8,Full AC
DMT-R010,Red Line,Tis Hazari,Shahdara,10:05,10:15,10,5,Every 3 min,Running,3,Down,4,Full AC
DMT-V019,Violet Line,Nehru Place,Sector 28,08:40,09:16,36,12,Every 10 min,On Time,4,Up,4,Full AC
DMT-B024,Blue Line,Janakpuri West,Noida Sector 16,07:05,07:47,42,14,Every 7 min,On Time,4,Down,8,Full AC
DMT-Y013,Yellow Line,Adarsh Nagar,Udyog Bhawan,19:20,20:02,42,14,Every 15 min,Delayed,3,Down,8,Full AC
DMT-G011,Green Line,Paschim Vihar West,Udyog Nagar,09:25,09:31,6,2,Every 5 min,On Time,3,Down,8,Full AC
DMT-B023,Blue Line,Dwarka Sector 8,Mandi House,11:05,11:41,36,12,Every 10 min,On Time,3,Down,8,Full AC
DMT-B007,Blue Line,Rajiv Chowk,Mandi House,16:00,16:04,4,2,Every 7 min,On Time,1,Up,8,Full AC
DMT-Y016,Yellow Line,Adarsh Nagar,HUDA City Centre,09:20,10:56,96,32,Every 5 min,On Time,2,Up,4,Non-AC
DMT-G010,Green Line,Paschim Vihar East,Nangloi Railway Station,21:20,21:32,12,6,Every 7 min,On Time,3,Up,6,Full AC
DMT-R021,Red Line,Keshav Puram,Shastri Park,22:20,22:36,16,8,Every 5 min,On Time,3,Down,6,Full AC
DMT-R010,Red Line,Shastri Nagar,Pratap Nagar,10:55,10:58,3,1,Every 7 min,On Time,4,Down,8,Full AC
DMT-V005,Violet Line,Delhi Gate,Raja Nahar Singh,20:25,21:52,87,29,Every 10 min,On Time,3,Up,6,Full AC
DMT-B010,Blue Line,Indraprastha,Noida City Centre,14:55,15:07,12,4,Every 7 min,On Time,2,Down,8,Full AC
DMT-R004,Red Line,Netaji Subhash Place,Inderlok,20:45,20:51,6,3,Every 3 min,Running,4,Down,6,Full AC
DMT-Y022,Yellow Line,Race Course,Sikanderpur,21:35,22:03,28,14,Every 5 min,On Time,2,Up,4,Full AC
DMT-Y025,Yellow Line,Jahangirpuri,MG Road,18:50,20:23,93,31,Every 5 min,On Time,4,Down,8,Full AC
DMT-Y006,Yellow Line,Chandni Chowk,IFFCO Chowk,07:55,08:41,46,23,Every 7 min,On Time,1,Up,4,Full AC
DMT-V003,Violet Line,Govindpuri,NHPC Chowk,07:25,07:41,16,8,Every 5 min,On Time,3,Down,6,Full AC
DMT-Y005,Yellow Line,Rohini Sector 18,Jahangirpuri,16:45,16:49,4,2,Every 3 min,On Time,2,Down,8,Full AC
DMT-R003,Red Line,Rohini West,Pitampura,20:30,20:36,6,2,Every 7 min,On Time,2,Up,6,Full AC
DMT-G003,Green Line,Satguru Ram Singh Marg,Ashok Park Main,23:45,23:48,3,1,Every 3 min,On Time,4,Up,6,Full AC
DMT-V017,Violet Line,Delhi Gate,Sarai,21:00,22:00,60,20,Every 10 min,Delayed,1,Up,6,Non-AC
DMT-G007,Green Line,Peeragarhi,Rajdhani Park,09:15,09:30,15,5,Every 5 min,On Time,2,Up,8,Full AC
DMT-B024,Blue Line,Mandi House,Noida Sector 15,23:05,23:17,12,4,Every 7 min,On Time,3,Down,4,Full AC
DMT-Y015,Yellow Line,Samaypur Badli,Patel Chowk,16:10,16:58,48,16,Every 3 min,Delayed,2,Up,6,Full AC
DMT-G018,Green Line,Shivaji Park,Nangloi,14:20,14:34,14,7,Every 10 min,On Time,1,Down,4,Non-AC
DMT-R018,Red Line,Pitampura,Kohat Enclave,17:55,17:58,3,1,Every 5 min,Delayed,2,Down,8,Full AC
DMT-R014,Red Line,Tis Hazari,Welcome,17:35,17:47,12,4,Every 5 min,Delayed,2,Down,8,Full AC
DMT-G013,Green Line,Satguru Ram Singh Marg,Shivaji Park,08:20,08:26,6,3,Every 3 min,On Time,3,Down,8,Full AC
DMT-G020,Green Line,Kirti Nagar,Madipur,09:30,09:45,15,5,Every 5 min,Running,1,Down,4,Full AC
DMT-R018,Red Line,Kohat Enclave,Dilshad Garden,10:25,11:07,42,14,Every 5 min,On Time,4,Up,4,Full AC
DMT-G018,Green Line,Punjabi Bagh,Madipur,10:00,10:04,4,2,Every 5 min,Delayed,3,Up,6,Full AC
DMT-B024,Blue Line,Indraprastha,Noida City Centre,18:55,19:07,12,4,Every 15 min,On Time,1,Up,6,Full AC
DMT-V011,Violet Line,Mandi House,JLN Stadium,08:35,08:47,12,4,Every 10 min,Running,2,Up,8,Non-AC
DMT-G008,Green Line,Madipur,Mundka,09:30,09:57,27,9,Every 5 min,On Time,3,Down,6,Full AC
DMT-V015,Violet Line,Central Secretariat,Khan Market,22:00,22:02,2,1,Every 10 min,On Time,4,Up,4,Non-AC
DMT-G006,Green Line,Nangloi,Rajdhani Park,12:00,12:04,4,2,Every 3 min,On Time,1,Down,4,Full AC
DMT-R025,Red Line,Keshav Puram,Pulbangash,19:30,19:45,15,5,Every 3 min,Running,2,Down,4,Non-AC
DMT-G017,Green Line,Punjabi Bagh,Udyog Nagar,16:10,16:28,18,6,Every 10 min,Delayed,3,Down,8,Full AC
DMT-V020,Violet Line,Moolchand,Jasola Apollo,16:00,16:12,12,6,Every 7 min,On Time,2,Down,8,Full AC
DMT-V023,Violet Line,Govindpuri,Tughlakabad,22:45,23:00,15,5,Every 3 min,Delayed,3,Down,8,Full AC
DMT-G002,Green Line,Punjabi Bagh,Maharaja Surajmal Stadium,11:45,11:59,14,7,Every 3 min,On Time,1,Up,4,Full AC
DMT-B018,Blue Line,Barakhamba Road,Yamuna Bank,16:30,16:42,12,4,Every 5 min,Cancelled,3,Down,4,Full AC
DMT-Y005,Yellow Line,New Delhi,Jor Bagh,17:40,17:58,18,6,Every 7 min,Delayed,2,Up,4,Full AC
DMT-G009,Green Line,Ashok Park Main,Brigadier Hoshiar Singh,10:50,11:29,39,13,Every 15 min,On Time,3,Down,8,Full AC
DMT-G015,Green Line,Ashok Park Main,Udyog Nagar,06:10,06:31,21,7,Every 7 min,On Time,1,Up,8,Full AC
DMT-R018,Red Line,Keshav Puram,Shastri Nagar,12:50,12:56,6,3,Every 15 min,Running,4,Up,4,Full AC
DMT-R024,Red Line,Pulbangash,Dilshad Garden,22:40,22:54,14,7,Every 10 min,On Time,2,Up,4,Full AC
DMT-Y017,Yellow Line,Chawri Bazar,Patel Chowk,17:20,17:29,9,3,Every 5 min,On Time,3,Down,6,Non-AC
DMT-G025,Green Line,Shivaji Park,Paschim Vihar West,22:35,22:44,9,3,Every 7 min,On Time,3,Up,8,Non-AC
DMT-V020,Violet Line,Jama Masjid,Neelam Chowk Ajronda,16:10,17:04,54,27,Every 10 min,Delayed,4,Down,8,Full AC
DMT-G014,Green Line,Ashok Park Main,Paschim Vihar East,18:35,18:43,8,4,Every 7 min,Cancelled,4,Down,6,Full AC
DMT-G002,Green Line,Peeragarhi,Brigadier Hoshiar Singh,13:15,13:36,21,7,Every 3 min,On Time,1,Up,8,Full AC
DMT-Y014,Yellow Line,Malviya Nagar,HUDA City Centre,07:00,07:22,22,11,Every 5 min,Delayed,4,Down,6,Non-AC
DMT-R002,Red Line,Netaji Subhash Place,Pratap Nagar,06:40,06:55,15,5,Every 10 min,On Time,3,Up,8,Full AC
DMT-Y007,Yellow Line,New Delhi,Malviya Nagar,13:00,13:33,33,11,Every 5 min,On Time,3,Up,4,Full AC
DMT-V012,Violet Line,Delhi Gate,Sarita Vihar,15:55,16:43,48,16,Every 10 min,On Time,4,Up,8,Full AC
DMT-G013,Green Line,Paschim Vihar West,Nangloi,09:25,09:33,8,4,Every 5 min,Running,3,Down,8,Full AC
DMT-R022,Red Line,Pitampura,Kanhaiya Nagar,14:25,14:33,8,4,Every 5 min,On Time,3,Down,8,Full AC
DMT-V002,Violet Line,Sarita Vihar,Old Faridabad,18:15,18:33,18,9,Every 5 min,On Time,2,Up,6,Full AC
