transaction_id,date,time,day,from_station,to_station,line,fare,payment_mode,card_type,passenger_type,is_holiday,trip_duration_min
TXN-000062,2026-01-20,17:15,Tuesday,Chawri Bazar,Mewala Maharajpur,Yellow Line,18.0,Smart Card,Regular,Regular,0,23
TXN-000063,2026-01-12,10:45,Monday,Paschim Vihar West,Rohini Sector 18,Green Line,60.0,Token,Regular,Regular,0,20
TXN-000064,2026-02-22,07:45,Sunday,Green Park,Lajpat Nagar,Yellow Line,18.0,Smart Card,Female,Female,1,20
TXN-000065,2026-02-26,08:00,Thursday,Jasola Apollo,Mandi House,Violet Line,50.0,Tourist Card,Regular,Regular,1,39
TXN-000066,2026-01-23,12:30,Friday,Dwarka,Tughlakabad,Blue Line,25.0,Token,Differently Abled,Differently Abled,0,21
TXN-000067,2026-02-07,07:00,Saturday,Jangpura,Jor Bagh,Violet Line,10.0,QR Code,Senior Citizen,Senior Citizen,0,9
TXN-000068,2026-01-29,07:30,Thursday,Barakhamba Road,Udyog Bhawan,Blue Line,27.0,Smart Card,Differently Abled,Differently Abled,0,49
TXN-000069,2026-01-04,10:45,Sunday,IFFCO Chowk,Dwarka Sector 21,Yellow Line,27.0,Smart Card,Senior Citizen,Senior Citizen,1,23
TXN-000070,2026-02-08,10:00,Sunday,Chawri Bazar,Uttam Nagar East,Yellow Line,25.0,Token,Senior Citizen,Senior Citizen,1,65
TXN-000071,2026-02-10,17:30,Tuesday,Paschim Vihar East,Ramesh Nagar,Green Line,36.0,Smart Card,Regular,Regular,0,29
TXN-000072,2026-02-25,12:00,Wednesday,Badarpur Border,Mandi House,Violet Line,25.0,Tourist Card,Student,Student,0,51
TXN-000073,2026-01-21,06:00,Wednesday,Noida Sector 16,Satguru Ram Singh Marg,Blue Line,25.0,Token,Female,Female,0,22
TXN-000074,2026-02-16,14:15,Monday,Civil Lines,INA,Yellow Line,10.0,Token,Student,Student,0,20
TXN-000075,2026-01-23,06:45,Friday,Noida Sector 15,Rohini West,Blue Line,60.0,National Common Mobility Card,Regular,Regular,0,32
TXN-000076,2026-02-22,09:45,Sunday,JLN Stadium,Rajiv Chowk,Violet Line,54.0,Smart Card,Student,Student,1,45
TXN-000077,2026-02-05,21:15,Thursday,Moolchand,Dilshad Garden,Violet Line,9.0,Smart Card,Differently Abled,Differently Abled,0,33
TXN-000078,2026-01-13,19:00,Tuesday,Badarpur Border,Pratap Nagar,Violet Line,20.0,QR Code,Student,Student,0,70
TXN-000079,2026-01-10,19:15,Saturday,Sikanderpur,Azadpur,Yellow Line,45.0,Smart Card,Senior Citizen,Senior Citizen,0,22
TXN-000080,2026-02-01,21:30,Sunday,Punjabi Bagh,Guru Dronacharya,Green Line,45.0,Smart Card,Differently Abled,Differently Abled,1,53
TXN-000081,2026-01-13,07:00,Tuesday,Samaypur Badli,AIIMS,Yellow Line,27.0,Smart Card,Female,Female,0,73
TXN-000082,2026-01-31,17:30,Saturday,Lajpat Nagar,Ghitorni,Violet Line,30.0,QR Code,Senior Citizen,Senior Citizen,0,21
TXN-000083,2026-01-21,11:15,Wednesday,AIIMS,Kohat Enclave,Yellow Line,30.0,Token,Regular,Regular,0,36
TXN-000084,2026-02-03,10:45,Tuesday,Janakpuri West,Guru Dronacharya,Blue Line,15.0,Token,Senior Citizen,Senior Citizen,0,54
TXN-000085,2026-01-12,17:45,Monday,Azadpur,Rohini East,Yellow Line,40.0,QR Code,Student,Student,0,51
TXN-000086,2026-01-23,17:00,Friday,Chhattarpur,Nangloi,Yellow Line,18.0,Smart Card,Regular,Regular,0,42
TXN-000087,2026-02-19,13:15,Thursday,Patel Chowk,Rajouri Garden,Yellow Line,20.0,National Common Mobility Card,Regular,Regular,0,42
TXN-000088,2026-02-02,17:45,Monday,Hauz Khas,Shastri Park,Yellow Line,20.0,Token,Senior Citizen,Senior Citizen,0,14
TXN-000089,2026-02-25,18:00,Wednesday,Pulbangash,Rajdhani Park,Red Line,30.0,Tourist Card,Regular,Regular,0,47
TXN-000090,2026-02-17,09:30,Tuesday,Ghitorni,Madipur,Yellow Line,54.0,Smart Card,Regular,Regular,0,12
TXN-000091,2026-01-04,08:45,Sunday,Green Park,Nangloi Railway Station,Yellow Line,60.0,Token,Student,Student,1,54
TXN-000092,2026-02-27,09:00,Friday,Azadpur,Pratap Nagar,Yellow Line,22.5,Smart Card,Regular,Regular,0,74
TXN-000093,2026-01-01,12:45,Thursday,Rajendra Place,Kanhaiya Nagar,Blue Line,13.5,Smart Card,Regular,Regular,0,31
TXN-000094,2026-01-09,07:30,Friday,Qutab Minar,Tughlakabad,Yellow Line,60.0,National Common Mobility Card,Female,Female,0,65
TXN-000095,2026-01-17,09:00,Saturday,Barakhamba Road,Udyog Nagar,Blue Line,18.0,Smart Card,Regular,Regular,0,60
TXN-000096,2026-01-22,09:45,Thursday,Race Course,Paschim Vihar West,Yellow Line,60.0,QR Code,Regular,Regular,0,63
TXN-000097,2026-02-25,08:30,Wednesday,Tis Hazari,Ghitorni,Red Line,40.0,QR Code,Regular,Regular,0,22
TXN-000098,2026-02-27,10:30,Friday,Civil Lines,Mundka,Yellow Line,10.0,QR Code,Regular,Regular,0,43
TXN-000099,2026-02-26,18:15,Thursday,Rajendra Place,Kailash Colony,Blue Line,10.0,National Common Mobility Card,Student,Student,1,72
TXN-000100,2026-01-10,17:00,Saturday,Dwarka,Tughlakabad,Blue Line,25.0,Token,Student,Student,0,12
TXN-000101,2026-02-09,10:30,Monday,Jasola Apollo,Janpath,Violet Line,27.0,Smart Card,Student,Student,0,63
TXN-000102,2026-02-25,11:15,Wednesday,Sarita Vihar,ITO,Violet Line,27.0,Smart Card,Regular,Regular,0,8
TXN-000103,2026-01-30,08:15,Friday,Rithala,Rohini Sector 18,Red Line,60.0,National Common Mobility Card,Regular,Regular,0,35
TXN-000104,2026-02-09,16:45,Monday,Rohini East,Badarpur Border,Red Line,15.0,Token,Female,Female,0,10
TXN-000105,2026-02-23,09:45,Monday,Satguru Ram Singh Marg,Kirti Nagar,Green Line,40.0,National Common Mobility Card,Student,Student,0,12
TXN-000106,2026-01-26,09:45,Monday,Azadpur,Netaji Subhash Place,Yellow Line,13.5,Smart Card,Regular,Regular,1,24
TXN-000107,2026-02-18,12:00,Wednesday,Rajendra Place,Chhattarpur,Blue Line,54.0,Smart Card,Student,Student,0,7
TXN-000108,2026-02-02,10:45,Monday,Brigadier Hoshiar Singh,Azadpur,Green Line,50.0,Token,Regular,Regular,0,44
TXN-000109,2026-01-02,07:30,Friday,Sarita Vihar,Noida City Centre,Violet Line,9.0,Smart Card,Regular,Regular,0,42
TXN-000110,2026-02-24,17:30,Tuesday,Keshav Puram,Nehru Place,Red Line,40.0,QR Code,Regular,Regular,0,13
TXN-000111,2026-02-03,08:30,Tuesday,AIIMS,Janpath,Yellow Line,60.0,Token,Differently Abled,Differently Abled,0,15
TXN-000112,2026-02-10,17:45,Tuesday,Hauz Khas,JLN Stadium,Yellow Line,27.0,Smart Card,Regular,Regular,0,30
TXN-000113,2026-01-04,09:15,Sunday,Rajdhani Park,Dwarka,Green Line,60.0,Token,Senior Citizen,Senior Citizen,1,36
TXN-000114,2026-02-20,14:00,Friday,Ghitorni,Moti Nagar,Yellow Line,50.0,Token,Regular,Regular,0,70
TXN-000115,2026-01-14,07:45,Wednesday,Kirti Nagar,Janakpuri West,Blue Line,18.0,Smart Card,Regular,Regular,0,55
TXN-000116,2026-01-08,16:45,Thursday,Civil Lines,Tughlakabad,Yellow Line,30.0,Token,Senior Citizen,Senior Citizen,0,31
TXN-000117,2026-02-05,23:00,Thursday,Rohini West,Satguru Ram Singh Marg,Red Line,20.0,QR Code,Regular,Regular,0,70
TXN-000118,2026-01-10,11:15,Saturday,Rohini West,Yamuna Bank,Red Line,40.0,Token,Regular,Regular,0,56
TXN-000119,2026-02-25,11:45,Wednesday,Azadpur,Hauz Khas,Yellow Line,45.0,Smart Card,Senior Citizen,Senior Citizen,0,31
TXN-000120,2026-01-31,13:45,Saturday,JLN Stadium,Guru Dronacharya,Violet Line,20.0,Token,Differently Abled,Differently Abled,0,42
TXN-000121,2026-01-06,10:30,Tuesday,Rajendra Place,Kanhaiya Nagar,Blue Line,18.0,Smart Card,Student,Student,0,66
TXN-000122,2026-01-18,14:30,Sunday,Seelampur,Mewala Maharajpur,Red Line,20.0,National Common Mobility Card,Student,Student,1,72
TXN-000123,2026-01-05,19:45,Monday,Shastri Nagar,Udyog Nagar,Red Line,22.5,Smart Card,Regular,Regular,0,55
TXN-000124,2026-01-29,08:00,Thursday,Qutab Minar,Central Secretariat,Yellow Line,45.0,Smart Card,Regular,Regular,0,40
TXN-000125,2026-02-23,18:00,Monday,Moolchand,Lal Quila,Violet Line,45.0,Smart Card,Student,Student,0,51
TXN-000126,2026-01-09,17:15,Friday,Kohat Enclave,Malviya Nagar,Red Line,30.0,Token,Regular,Regular,0,29
TXN-000127,2026-01-26,19:15,Monday,Badkhal Mor,Pratap Nagar,Violet Line,20.0,QR Code,Regular,Regular,1,47
TXN-000128,2026-02-28,11:30,Saturday,Lal Quila,Govindpuri,Violet Line,10.0,Token,Regular,Regular,0,37
TXN-000129,2026-02-18,17:30,Wednesday,GTB Nagar,HUDA City Centre,Yellow Line,22.5,Smart Card,Student,Student,0,53
TXN-000130,2026-01-20,10:45,Tuesday,Moolchand,Model Town,Violet Line,60.0,Token,Student,Student,0,17
TXN-000131,2026-01-30,17:30,Friday,Madipur,Pulbangash,Green Line,36.0,Smart Card,Regular,Regular,0,49
TXN-000132,2026-01-29,11:45,Thursday,Dwarka Sector 21,Dwarka,Blue Line,10.0,QR Code,Regular,Regular,0,70
TXN-000133,2026-02-23,10:15,Monday,Rithala,Jama Masjid,Red Line,18.0,Smart Card,Regular,Regular,0,33
TXN-000134,2026-02-24,19:45,Tuesday,Brigadier Hoshiar Singh,Noida Sector 16,Green Line,20.0,Token,Regular,Regular,0,59
TXN-000135,2026-01-28,18:30,Wednesday,Ramesh Nagar,Barakhamba Road,Blue Line,10.0,Token,Regular,Regular,0,63
TXN-000136,2026-01-08,08:30,Thursday,Sarita Vihar,Nangloi,Violet Line,20.0,Token,Regular,Regular,0,38
TXN-000137,2026-02-04,09:15,Wednesday,INA,Karol Bagh,Yellow Line,20.0,Tourist Card,Female,Female,0,58
TXN-000138,2026-01-21,10:30,Wednesday,Kashmere Gate,Pratap Nagar,Yellow Line,50.0,Token,Senior Citizen,Senior Citizen,0,23
TXN-000139,2026-02-17,08:45,Tuesday,Harkesh Nagar Okhla,Model Town,Violet Line,15.0,National Common Mobility Card,Differently Abled,Differently Abled,0,24
TXN-000140,2026-01-11,09:15,Sunday,Nangloi,Raja Nahar Singh,Green Line,45.0,Smart Card,Student,Student,1,42
TXN-000141,2026-01-30,10:00,Friday,Kailash Colony,Sarai,Violet Line,25.0,Tourist Card,Senior Citizen,Senior Citizen,0,34
TXN-000142,2026-02-25,21:30,Wednesday,Rohini Sector 18,Pitampura,Yellow Line,13.5,Smart Card,Regular,Regular,0,44
TXN-000143,2026-01-02,14:30,Friday,Noida City Centre,Yamuna Bank,Blue Line,40.0,QR Code,Female,Female,0,62
TXN-000144,2026-01-29,08:30,Thursday,Jahangirpuri,Old Faridabad,Yellow Line,40.0,National Common Mobility Card,Regular,Regular,0,45
TXN-000145,2026-02-07,07:00,Saturday,Green Park,Sector 28,Yellow Line,15.0,QR Code,Regular,Regular,0,31
TXN-000146,2026-02-26,09:30,Thursday,Jangpura,Samaypur Badli,Violet Line,25.0,Token,Regular,Regular,1,14
TXN-000147,2026-02-14,18:00,Saturday,Rajouri Garden,Mohan Estate,Blue Line,13.5,Smart Card,Regular,Regular,0,58
TXN-000148,2026-02-12,08:00,Thursday,JLN Stadium,Vidhan Sabha,Violet Line,13.5,Smart Card,Differently Abled,Differently Abled,0,15
TXN-000149,2026-02-05,16:30,Thursday,Seelampur,Samaypur Badli,Red Line,40.0,Token,Student,Student,0,26
TXN-000150,2026-01-05,11:15,Monday,JLN Stadium,Tughlakabad,Violet Line,22.5,Smart Card,Differently Abled,Differently Abled,0,66
TXN-000151,2026-02-28,13:15,Saturday,Noida City Centre,Guru Dronacharya,Blue Line,13.5,Smart Card,Regular,Regular,0,21
TXN-000152,2026-01-01,11:30,Thursday,Seelampur,Jasola Apollo,Red Line,9.0,Smart Card,Differently Abled,Differently Abled,0,48
TXN-000153,2026-02-20,09:15,Friday,Chandni Chowk,Dwarka Sector 8,Yellow Line,27.0,Smart Card,Female,Female,0,65
TXN-000154,2026-01-17,19:30,Saturday,Udyog Bhawan,Karol Bagh,Yellow Line,25.0,Token,Female,Female,0,12
TXN-000155,2026-01-31,17:30,Saturday,Sarita Vihar,Yamuna Bank,Violet Line,60.0,QR Code,Regular,Regular,0,16
TXN-000156,2026-01-15,16:00,Thursday,Sikanderpur,Guru Dronacharya,Yellow Line,45.0,Smart Card,Student,Student,0,21
TXN-000157,2026-01-23,12:15,Friday,Badkhal Mor,Civil Lines,Violet Line,50.0,Token,Regular,Regular,0,52
TXN-000158,2026-01-08,20:30,Thursday,Ramesh Nagar,Pragati Maidan,Blue Line,50.0,National Common Mobility Card,Differently Abled,Differently Abled,0,22
TXN-000159,2026-02-28,17:00,Saturday,Chhattarpur,INA,Yellow Line,54.0,Smart Card,Regular,Regular,0,7
TXN-000160,2026-02-06,12:15,Friday,MG Road,Raja Nahar Singh,Yellow Line,25.0,Token,Differently Abled,Differently Abled,0,8
TXN-000161,2026-01-29,15:00,Thursday,Pragati Maidan,ITO,Blue Line,54.0,Smart Card,Female,Female,0,70
TXN-000162,2026-02-24,11:15,Tuesday,Hauz Khas,Chawri Bazar,Yellow Line,27.0,Smart Card,Female,Female,0,43
TXN-000163,2026-02-15,10:15,Sunday,Udyog Bhawan,Ramesh Nagar,Yellow Line,40.0,Token,Student,Student,1,60
TXN-000164,2026-02-13,21:15,Friday,Hauz Khas,Green Park,Yellow Line,45.0,Smart Card,Senior Citizen,Senior Citizen,0,53
TXN-000165,2026-01-03,11:45,Saturday,Hauz Khas,Uttam Nagar East,Yellow Line,25.0,QR Code,Student,Student,0,52
TXN-000166,2026-01-01,19:30,Thursday,Noida City Centre,Civil Lines,Blue Line,9.0,Smart Card,Regular,Regular,0,63
TXN-000167,2026-02-27,17:00,Friday,Jor Bagh,Netaji Subhash Place,Yellow Line,50.0,National Common Mobility Card,Female,Female,0,15
TXN-000168,2026-01-13,21:30,Tuesday,Kohat Enclave,Ashok Park Main,Red Line,18.0,Smart Card,Differently Abled,Differently Abled,0,58
TXN-000169,2026-02-22,18:15,Sunday,Noida Sector 15,Shivaji Park,Blue Line,13.5,Smart Card,Regular,Regular,1,7
TXN-000170,2026-02-25,10:00,Wednesday,Lal Quila,Karol Bagh,Violet Line,50.0,National Common Mobility Card,Female,Female,0,65
TXN-000171,2026-02-28,10:15,Saturday,Pragati Maidan,Mohan Estate,Blue Line,9.0,Smart Card,Differently Abled,Differently Abled,0,17
TXN-000172,2026-02-25,17:00,Wednesday,Noida City Centre,Nangloi Railway Station,Blue Line,40.0,National Common Mobility Card,Regular,Regular,0,60
TXN-000173,2026-01-03,09:00,Saturday,Bata Chowk,Nangloi Railway Station,Violet Line,10.0,National Common Mobility Card,Regular,Regular,0,44
TXN-000174,2026-01-25,12:30,Sunday,Saket,Raja Nahar Singh,Yellow Line,22.5,Smart Card,Regular,Regular,1,9
TXN-000175,2026-02-17,11:15,Tuesday,Jahangirpuri,Model Town,Yellow Line,60.0,Token,Regular,Regular,0,44
TXN-000176,2026-02-14,11:00,Saturday,Uttam Nagar East,Malviya Nagar,Blue Line,18.0,Smart Card,Student,Student,0,37
TXN-000177,2026-01-06,12:45,Tuesday,Jangpura,Ramesh Nagar,Violet Line,9.0,Smart Card,Regular,Regular,0,17
TXN-000178,2026-02-12,09:00,Thursday,Jasola Apollo,Sarita Vihar,Violet Line,50.0,Token,Regular,Regular,0,9
TXN-000179,2026-02-12,20:00,Thursday,Uttam Nagar East,IFFCO Chowk,Blue Line,45.0,Smart Card,Differently Abled,Differently Abled,0,57
TXN-000180,2026-01-30,18:15,Friday,Sarai,Adarsh Nagar,Violet Line,40.0,QR Code,Regular,Regular,0,70
TXN-000181,2026-02-01,07:30,Sunday,Udyog Bhawan,Shahdara,Yellow Line,9.0,Smart Card,Regular,Regular,1,68
TXN-000182,2026-01-24,17:45,Saturday,Nehru Place,Pulbangash,Violet Line,36.0,Smart Card,Regular,Regular,0,67
TXN-000183,2026-01-28,14:15,Wednesday,Jahangirpuri,Rithala,Yellow Line,40.0,National Common Mobility Card,Student,Student,0,72
TXN-000184,2026-01-27,08:45,Tuesday,GTB Nagar,Dilshad Garden,Yellow Line,15.0,Token,Regular,Regular,0,54
TXN-000185,2026-01-14,20:00,Wednesday,Old Faridabad,JLN Stadium,Violet Line,18.0,Smart Card,Senior Citizen,Senior Citizen,0,11
TXN-000186,2026-01-29,06:15,Thursday,Tis Hazari,Patel Chowk,Red Line,60.0,QR Code,Student,Student,0,30
TXN-000187,2026-02-03,09:00,Tuesday,Ashok Park Main,Pragati Maidan,Green Line,20.0,Token,Regular,Regular,0,33
TXN-000188,2026-01-29,09:45,Thursday,Adarsh Nagar,Kashmere Gate,Yellow Line,36.0,Smart Card,Regular,Regular,0,71
TXN-000189,2026-01-17,20:45,Saturday,Rajouri Garden,Rithala,Blue Line,30.0,National Common Mobility Card,Female,Female,0,10
TXN-000190,2026-01-19,09:30,Monday,AIIMS,Mandi House,Yellow Line,25.0,QR Code,Senior Citizen,Senior Citizen,0,39
TXN-000191,2026-02-18,15:45,Wednesday,Dwarka,Civil Lines,Blue Line,25.0,Token,Female,Female,0,50
TXN-000192,2026-01-25,18:00,Sunday,Barakhamba Road,Peeragarhi,Blue Line,20.0,QR Code,Senior Citizen,Senior Citizen,1,7
TXN-000193,2026-01-29,08:00,Thursday,Govindpuri,Model Town,Violet Line,15.0,Token,Senior Citizen,Senior Citizen,0,29
TXN-000194,2026-01-30,08:00,Friday,Shivaji Park,Pulbangash,Green Line,25.0,Token,Regular,Regular,0,64
TXN-000195,2026-01-22,13:00,Thursday,Adarsh Nagar,Rajdhani Park,Yellow Line,54.0,Smart Card,Regular,Regular,0,25
TXN-000196,2026-01-18,16:15,Sunday,Sultanpur,Tughlakabad,Yellow Line,50.0,QR Code,Student,Student,1,37
TXN-000197,2026-02-07,18:30,Saturday,Qutab Minar,Kirti Nagar,Yellow Line,54.0,Smart Card,Regular,Regular,0,50
TXN-000198,2026-02-01,05:15,Sunday,Qutab Minar,Ramesh Nagar,Yellow Line,22.5,Smart Card,Senior Citizen,Senior Citizen,1,6
TXN-000199,2026-02-02,07:00,Monday,Hauz Khas,Inderlok,Yellow Line,27.0,Smart Card,Regular,Regular,0,70
TXN-000200,2026-02-07,13:15,Saturday,Udyog Nagar,Civil Lines,Green Line,13.5,Smart Card,Student,Student,0,65
TXN-000201,2026-01-03,18:00,Saturday,Badarpur Border,Noida Sector 15,Violet Line,50.0,Token,Regular,Regular,0,12
TXN-000202,2026-01-08,16:15,Thursday,Pulbangash,Mohan Estate,Red Line,50.0,QR Code,Regular,Regular,0,8
TXN-000203,2026-01-06,17:15,Tuesday,Arjan Garh,Jasola Apollo,Yellow Line,25.0,QR Code,Regular,Regular,0,16
TXN-000204,2026-01-23,15:00,Friday,Kalkaji Mandir,Vidhan Sabha,Violet Line,13.5,Smart Card,Regular,Regular,0,49
