date,time,day,train_id,line,station,delay_minutes,delay_reason,weather,impact_level,affected_passengers,is_peak_hour,is_holiday,resolution_time_min
2026-01-26,20:06,Monday,DMT-R024,Red Line,Rohini West,15,Overcrowding,Foggy,Medium,645,0,1,19
2026-02-24,07:31,Tuesday,DMT-R013,Blue Line,Janakpuri West,21,Switch Failure,Clear,High,819,0,0,28
2026-01-19,19:59,Monday,DMT-Y004,Red Line,Kohat Enclave,1,Passenger Emergency,Smoggy,Low,42,1,0,9
2026-02-27,23:48,Friday,DMT-G022,Violet Line,Central Secretariat,57,Power Failure,Clear,High,2234,0,0,62
2026-02-16,21:37,Monday,DMT-G017,Yellow Line,Rohini Sector 18,40,Signal Failure,Cloudy,High,1656,0,0,45
2026-01-26,11:50,Monday,DMT-G024,Yellow Line,Hauz Khas,27,Overcrowding,Clear,High,1015,0,1,35
2026-01-11,13:24,Sunday,DMT-B022,Violet Line,JLN Stadium,1,Weather Disruption,Clear,Low,41,0,1,15
2026-01-05,10:35,Monday,DMT-B001,Violet Line,Govindpuri,46,Signal Failure,Smoggy,High,1803,1,0,57
2026-01-29,07:27,Thursday,DMT-G001,Violet Line,Khan Market,2,Switch Failure,Foggy,Low,82,0,0,8
2026-01-22,12:24,Thursday,DMT-Y008,Blue Line,Dwarka,1,Technical Fault,Rainy,Low,40,0,0,6
2026-01-30,16:13,Friday,DMT-Y014,Blue Line,Pragati Maidan,25,Weather Disruption,Clear,High,1000,0,0,36
2026-02-10,13:49,Tuesday,DMT-V017,Yellow Line,Sultanpur,21,Overcrowding,Clear,High,810,0,0,23
2026-02-03,16:09,Tuesday,DMT-Y020,Red Line,Kanhaiya Nagar,10,Power Failure,Clear,Medium,410,0,0,13
2026-02-06,21:28,Friday,DMT-R006,Violet Line,Escorts Mujesar,6,Door Malfunction,Clear,Low,231,0,0,20
2026-01-09,16:44,Friday,DMT-Y014,Blue Line,Dwarka Sector 8,24,Switch Failure,Rainy,High,1123,0,0,32
2026-02-23,05:18,Monday,DMT-R006,Red Line,Kashmere Gate,15,Overcrowding,Foggy,Medium,504,0,0,18
2026-02-28,19:15,Saturday,DMT-V004,Violet Line,Tughlakabad,2,Weather Disruption,Cloudy,Low,80,1,0,14
2026-02-13,07:13,Friday,DMT-B016,Green Line,Nangloi,7,Platform Crowding,Cloudy,Low,296,0,0,11
2026-02-07,18:25,Saturday,DMT-G013,Blue Line,Moti Nagar,11,Door Malfunction,Clear,Medium,440,1,0,21
2026-02-07,10:01,Saturday,DMT-B005,Yellow Line,Arjan Garh,20,Signal Failure,Cloudy,High,876,1,0,34
2026-01-14,14:21,Wednesday,DMT-R022,Blue Line,Mandi House,15,Overcrowding,Smoggy,Medium,585,0,0,23
2026-01-08,20:38,Thursday,DMT-V008,Red Line,Netaji Subhash Place,21,Weather Disruption,Clear,High,915,0,0,27
2026-02-11,05:24,Wednesday,DMT-R020,Yellow Line,Vishwavidyalaya,21,Passenger Emergency,Clear,High,819,0,0,33
2026-01-01,05:39,Thursday,DMT-Y023,Yellow Line,Central Secretariat,13,Track Maintenance,Clear,Medium,512,0,0,25
2026-01-30,23:49,Friday,DMT-R021,Violet Line,Mandi House,17,Technical Fault,Smoggy,Medium,693,0,0,30
2026-01-29,12:30,Thursday,DMT-Y020,Blue Line,Ramesh Nagar,38,Signal Failure,Clear,High,1626,0,0,43
2026-01-03,09:54,Saturday,DMT-Y016,Red Line,Pulbangash,16,Track Maintenance,Smoggy,Medium,640,1,0,29
2026-02-06,21:19,Friday,DMT-V002,Green Line,Mundka,22,Staff Shortage,Foggy,High,998,0,0,32
2026-02-03,17:57,Tuesday,DMT-Y003,Violet Line,Old Faridabad,36,Track Maintenance,Cloudy,High,1512,1,0,50
2026-02-01,14:11,Sunday,DMT-V015,Yellow Line,Hauz Khas,6,Weather Disruption,Clear,Low,264,0,1,14
2026-01-11,12:50,Sunday,DMT-V024,Violet Line,Janpath,14,Signal Failure,Smoggy,Medium,599,0,1,19
2026-02-26,07:41,Thursday,DMT-G004,Red Line,Welcome,28,Technical Fault,Foggy,High,1192,0,1,34
2026-02-09,23:44,Monday,DMT-R023,Red Line,Welcome,22,Power Failure,Clear,High,871,0,0,33
2026-02-28,10:41,Saturday,DMT-Y014,Blue Line,Janakpuri West,20,Signal Failure,Smoggy,High,732,1,0,22
2026-01-21,06:01,Wednesday,DMT-Y023,Violet Line,Jangpura,33,Power Failure,Clear,High,1438,0,0,47
2026-02-16,14:45,Monday,DMT-V017,Green Line,Satguru Ram Singh Marg,35,Technical Fault,Foggy,High,1512,0,0,44
2026-02-04,22:57,Wednesday,DMT-G009,Violet Line,Jama Masjid,15,Signal Failure,Clear,Medium,603,0,0,26
2026-01-19,20:54,Monday,DMT-R015,Green Line,Nangloi Railway Station,3,Passenger Emergency,Smoggy,Low,114,0,0,11
2026-01-25,20:37,Sunday,DMT-B009,Blue Line,Noida Sector 16,13,Platform Crowding,Clear,Medium,538,0,1,23
2026-02-22,13:08,Sunday,DMT-B015,Yellow Line,New Delhi,19,Overcrowding,Clear,Medium,710,0,1,24
2026-01-18,11:49,Sunday,DMT-G019,Red Line,Rohini West,3,Overcrowding,Cloudy,Low,114,0,1,14
2026-01-01,18:48,Thursday,DMT-R007,Red Line,Seelampur,70,Signal Failure,Foggy,High,2646,1,0,81
2026-01-25,10:36,Sunday,DMT-G019,Yellow Line,Adarsh Nagar,31,Security Alert,Foggy,High,1202,1,1,39
2026-01-17,23:27,Saturday,DMT-B025,Red Line,Kashmere Gate,24,Passenger Emergency,Clear,High,1017,0,0,30
2026-02-22,14:29,Sunday,DMT-G022,Green Line,Rajdhani Park,13,Staff Shortage,Smoggy,Medium,535,0,1,16
2026-02-13,11:50,Friday,DMT-R017,Yellow Line,Central Secretariat,25,Door Malfunction,Clear,High,1025,0,0,27
2026-02-22,05:31,Sunday,DMT-V018,Violet Line,Kalkaji Mandir,2,Overcrowding,Clear,Low,76,0,1,14
2026-02-18,07:52,Wednesday,DMT-B022,Yellow Line,Rohini Sector 18,5,Weather Disruption,Foggy,Low,225,0,0,15
2026-01-27,06:51,Tuesday,DMT-G017,Violet Line,Harkesh Nagar Okhla,3,Overcrowding,Foggy,Low,123,0,0,10
2026-02-11,15:35,Wednesday,DMT-Y021,Yellow Line,MG Road,3,Door Malfunction,Clear,Low,111,0,0,5
2026-02-01,17:28,Sunday,DMT-Y017,Yellow Line,Kashmere Gate,19,Overcrowding,Clear,Medium,756,1,1,25
2026-01-05,20:25,Monday,DMT-Y012,Yellow Line,Rohini Sector 18,5,Track Maintenance,Clear,Low,203,0,0,7
2026-01-11,06:30,Sunday,DMT-B021,Blue Line,Noida City Centre,66,Signal Failure,Rainy,High,2547,0,1,74
2026-02-10,09:01,Tuesday,DMT-R001,Blue Line,Uttam Nagar East,6,Weather Disruption,Foggy,Low,237,1,0,18
2026-01-31,15:02,Saturday,DMT-B024,Yellow Line,Rajiv Chowk,17,Track Maintenance,Clear,Medium,799,0,0,22
2026-01-02,11:37,Friday,DMT-Y004,Red Line,Rohini East,13,Power Failure,Clear,Medium,494,0,0,26
2026-01-14,14:58,Wednesday,DMT-B002,Violet Line,Sector 28,11,Power Failure,Clear,Medium,470,0,0,18
2026-02-20,23:19,Friday,DMT-V020,Green Line,Kirti Nagar,14,Passenger Emergency,Clear,Medium,551,0,0,27
2026-01-05,11:54,Monday,DMT-V023,Violet Line,Moolchand,22,Door Malfunction,Foggy,High,972,0,0,36
2026-02-27,17:16,Friday,DMT-R003,Green Line,Brigadier Hoshiar Singh,18,Platform Crowding,Clear,Medium,698,1,0,23
2026-01-28,13:41,Wednesday,DMT-Y005,Green Line,Punjabi Bagh,22,Passenger Emergency,Foggy,High,871,0,0,26
2026-02-07,13:52,Saturday,DMT-G003,Yellow Line,Civil Lines,1,Security Alert,Clear,Low,41,0,0,6
2026-02-08,20:37,Sunday,DMT-V012,Yellow Line,Saket,4,Weather Disruption,Cloudy,Low,163,0,1,11
2026-02-10,13:44,Tuesday,DMT-R002,Violet Line,Kailash Colony,13,Signal Failure,Clear,Medium,517,0,0,17
2026-01-05,12:51,Monday,DMT-R024,Red Line,Pratap Nagar,14,Door Malfunction,Foggy,Medium,532,0,0,23
2026-01-18,15:49,Sunday,DMT-R002,Blue Line,Karol Bagh,28,Weather Disruption,Clear,High,968,0,1,38
2026-02-22,16:28,Sunday,DMT-G024,Red Line,Pratap Nagar,35,Overcrowding,Foggy,High,1302,0,1,43
2026-02-02,23:04,Monday,DMT-R014,Green Line,Satguru Ram Singh Marg,7,Passenger Emergency,Foggy,Low,288,0,0,12
2026-02-26,22:12,Thursday,DMT-B007,Red Line,Kohat Enclave,41,Track Maintenance,Cloudy,High,1803,0,1,55
2026-01-25,08:31,Sunday,DMT-R008,Red Line,Tis Hazari,61,Power Failure,Rainy,High,2647,1,1,67
2026-01-04,22:21,Sunday,DMT-B002,Yellow Line,Rohini Sector 18,24,Signal Failure,Foggy,High,854,0,1,26
2026-02-11,20:48,Wednesday,DMT-B014,Yellow Line,MG Road,36,Power Failure,Clear,High,1461,0,0,46
2026-02-23,15:22,Monday,DMT-B016,Red Line,Netaji Subhash Place,5,Door Malfunction,Foggy,Low,201,0,0,18
2026-02-15,05:59,Sunday,DMT-V005,Yellow Line,Haiderpur Badli Mor,4,Door Malfunction,Clear,Low,164,0,1,7
2026-02-21,11:38,Saturday,DMT-V001,Blue Line,Rajiv Chowk,8,Passenger Emergency,Clear,Low,313,0,0,21
2026-02-02,11:26,Monday,DMT-B005,Violet Line,Tughlakabad,8,Platform Crowding,Clear,Low,313,0,0,17
2026-02-09,18:04,Monday,DMT-B023,Green Line,Shivaji Park,2,Overcrowding,Foggy,Low,78,1,0,6
2026-01-19,08:15,Monday,DMT-R010,Violet Line,Jangpura,48,Signal Failure,Foggy,High,2140,1,0,52
2026-01-18,15:45,Sunday,DMT-B005,Yellow Line,Saket,26,Signal Failure,Foggy,High,1144,0,1,28
2026-01-05,17:05,Monday,DMT-R002,Red Line,Seelampur,3,Weather Disruption,Foggy,Low,130,1,0,13
2026-01-17,17:18,Saturday,DMT-Y019,Green Line,Rajdhani Park,27,Technical Fault,Cloudy,High,1193,1,0,39
2026-02-28,20:03,Saturday,DMT-G017,Violet Line,Jangpura,7,Overcrowding,Foggy,Low,257,0,0,10
2026-01-16,23:08,Friday,DMT-V011,Violet Line,Kashmere Gate,19,Door Malfunction,Rainy,Medium,752,0,0,23
2026-02-12,13:00,Thursday,DMT-R018,Red Line,Pulbangash,9,Technical Fault,Foggy,Low,381,0,0,18
2026-02-22,09:59,Sunday,DMT-V024,Red Line,Pitampura,24,Signal Failure,Cloudy,High,1012,1,1,33
2026-01-28,13:30,Wednesday,DMT-V020,Blue Line,Rajiv Chowk,27,Track Maintenance,Clear,High,1101,0,0,38
2026-01-26,07:52,Monday,DMT-G012,Yellow Line,Ghitorni,41,Signal Failure,Foggy,High,1656,0,1,54
2026-02-12,21:44,Thursday,DMT-R008,Yellow Line,Patel Chowk,5,Switch Failure,Cloudy,Low,199,0,0,10
2026-02-12,10:28,Thursday,DMT-G024,Violet Line,Moolchand,18,Door Malfunction,Smoggy,Medium,680,1,0,30
2026-02-11,13:54,Wednesday,DMT-Y020,Blue Line,Mandi House,1,Weather Disruption,Clear,Low,43,0,0,7
2026-01-04,22:11,Sunday,DMT-G013,Blue Line,Rajiv Chowk,8,Passenger Emergency,Cloudy,Low,320,0,1,14
2026-01-14,06:50,Wednesday,DMT-G022,Violet Line,JLN Stadium,9,Door Malfunction,Foggy,Low,365,0,0,19
2026-01-07,07:29,Wednesday,DMT-B019,Violet Line,Kalkaji Mandir,12,Security Alert,Cloudy,Medium,465,0,0,19
2026-02-27,12:49,Friday,DMT-B009,Green Line,Nangloi,3,Weather Disruption,Clear,Low,120,0,0,6
2026-01-24,17:43,Saturday,DMT-B017,Yellow Line,Rajiv Chowk,26,Passenger Emergency,Clear,High,1024,1,0,32
2026-02-14,12:48,Saturday,DMT-R002,Yellow Line,MG Road,9,Staff Shortage,Clear,Low,378,0,0,23
2026-01-31,13:55,Saturday,DMT-V006,Red Line,Welcome,13,Passenger Emergency,Foggy,Medium,462,0,0,27
2026-02-22,15:01,Sunday,DMT-Y002,Red Line,Pulbangash,6,Overcrowding,Cloudy,Low,235,0,1,18
2026-02-24,15:00,Tuesday,DMT-G002,Yellow Line,Model Town,15,Platform Crowding,Foggy,Medium,606,0,0,26
2026-02-20,08:23,Friday,DMT-G020,Green Line,Udyog Nagar,26,Signal Failure,Clear,High,1144,1,0,36
2026-02-01,05:54,Sunday,DMT-G002,Yellow Line,MG Road,75,Signal Failure,Foggy,High,3105,0,1,88
2026-02-15,15:10,Sunday,DMT-B006,Yellow Line,Guru Dronacharya,14,Weather Disruption,Foggy,Medium,557,0,1,28
2026-02-28,08:12,Saturday,DMT-G025,Blue Line,Dwarka,6,Track Maintenance,Clear,Low,218,1,0,10
2026-02-26,22:01,Thursday,DMT-B022,Violet Line,Mewala Maharajpur,2,Passenger Emergency,Clear,Low,79,0,1,4
2026-01-29,10:06,Thursday,DMT-G005,Blue Line,Uttam Nagar East,7,Technical Fault,Cloudy,Low,267,1,0,13
2026-01-27,17:35,Tuesday,DMT-B015,Yellow Line,Jor Bagh,10,Overcrowding,Cloudy,Medium,340,1,0,16
2026-01-23,14:23,Friday,DMT-G012,Blue Line,Yamuna Bank,31,Switch Failure,Foggy,High,1277,0,0,45
2026-01-23,09:25,Friday,DMT-R014,Yellow Line,Malviya Nagar,75,Signal Failure,Foggy,High,3195,1,0,88
2026-01-15,23:09,Thursday,DMT-B021,Blue Line,Barakhamba Road,11,Door Malfunction,Clear,Medium,393,0,0,25
2026-01-11,13:32,Sunday,DMT-B012,Yellow Line,New Delhi,16,Power Failure,Cloudy,Medium,582,0,1,30
2026-01-10,12:58,Saturday,DMT-G007,Yellow Line,Kashmere Gate,74,Signal Failure,Foggy,High,2871,0,0,84
2026-02-14,21:11,Saturday,DMT-V017,Red Line,Pulbangash,4,Passenger Emergency,Clear,Low,157,0,0,14
2026-02-15,12:57,Sunday,DMT-B009,Violet Line,Sarita Vihar,9,Passenger Emergency,Cloudy,Low,347,0,1,21
2026-02-16,20:51,Monday,DMT-R013,Yellow Line,Chhattarpur,31,Technical Fault,Foggy,High,1333,0,0,33
2026-01-02,07:35,Friday,DMT-G011,Green Line,Udyog Nagar,11,Weather Disruption,Clear,Medium,409,0,0,17
2026-01-25,11:02,Sunday,DMT-G012,Yellow Line,Civil Lines,6,Technical Fault,Foggy,Low,253,0,1,14
2026-01-29,13:30,Thursday,DMT-Y005,Yellow Line,Malviya Nagar,11,Power Failure,Foggy,Medium,433,0,0,22
2026-01-25,13:05,Sunday,DMT-Y025,Violet Line,Sarai,17,Passenger Emergency,Cloudy,Medium,608,0,1,20
2026-01-10,07:48,Saturday,DMT-R025,Red Line,Shahdara,22,Weather Disruption,Cloudy,High,880,0,0,36
2026-01-13,12:04,Tuesday,DMT-G006,Yellow Line,Patel Chowk,5,Door Malfunction,Foggy,Low,213,0,0,12
2026-02-06,18:54,Friday,DMT-Y023,Red Line,Rohini East,20,Signal Failure,Clear,High,736,1,0,23
2026-02-09,16:18,Monday,DMT-B010,Blue Line,Janakpuri West,2,Weather Disruption,Smoggy,Low,85,0,0,9
2026-01-16,08:19,Friday,DMT-G002,Blue Line,Noida Sector 16,16,Platform Crowding,Smoggy,Medium,617,1,0,23
2026-02-01,06:28,Sunday,DMT-B005,Green Line,Udyog Nagar,18,Weather Disruption,Clear,Medium,734,0,1,21
2026-02-25,18:16,Wednesday,DMT-B012,Yellow Line,Hauz Khas,19,Signal Failure,Cloudy,Medium,786,1,0,28
2026-01-29,09:33,Thursday,DMT-V020,Red Line,Rithala,55,Track Maintenance,Cloudy,High,2024,1,0,58
2026-01-03,18:59,Saturday,DMT-G005,Violet Line,NHPC Chowk,11,Overcrowding,Foggy,Medium,413,1,0,19
2026-01-31,17:05,Saturday,DMT-Y004,Blue Line,Yamuna Bank,14,Door Malfunction,Clear,Medium,618,1,0,22
2026-01-18,10:52,Sunday,DMT-G007,Red Line,Welcome,7,Door Malfunction,Foggy,Low,312,1,1,16
2026-01-11,13:14,Sunday,DMT-Y010,Green Line,Nangloi,19,Weather Disruption,Clear,Medium,642,0,1,33
2026-02-22,06:20,Sunday,DMT-B017,Yellow Line,IFFCO Chowk,6,Door Malfunction,Cloudy,Low,266,0,1,19
2026-01-04,05:05,Sunday,DMT-B003,Red Line,Keshav Puram,11,Power Failure,Clear,Medium,468,0,1,19
2026-02-16,21:31,Monday,DMT-V010,Blue Line,Uttam Nagar East,18,Track Maintenance,Rainy,Medium,712,0,0,32
2026-01-08,08:44,Thursday,DMT-R014,Violet Line,Bata Chowk,28,Overcrowding,Foggy,High,1103,1,0,32
2026-02-22,09:19,Sunday,DMT-G019,Green Line,Ashok Park Main,13,Door Malfunction,Smoggy,Medium,447,1,1,25
2026-01-12,19:31,Monday,DMT-Y011,Red Line,Seelampur,22,Signal Failure,Foggy,High,976,1,0,34
2026-02-06,21:29,Friday,DMT-B009,Blue Line,Ramesh Nagar,26,Technical Fault,Clear,High,1128,0,0,35
2026-02-09,22:32,Monday,DMT-V005,Green Line,Shivaji Park,3,Passenger Emergency,Foggy,Low,111,0,0,10
2026-01-16,17:57,Friday,DMT-B024,Violet Line,Neelam Chowk Ajronda,42,Signal Failure,Foggy,High,1705,1,0,49
2026-01-13,22:59,Tuesday,DMT-Y016,Violet Line,ITO,24,Technical Fault,Foggy,High,926,0,0,35
2026-02-07,22:21,Saturday,DMT-R016,Yellow Line,Samaypur Badli,1,Passenger Emergency,Foggy,Low,42,0,0,5
2026-02-04,05:48,Wednesday,DMT-B001,Red Line,Seelampur,8,Signal Failure,Smoggy,Low,297,0,0,13
2026-02-28,14:57,Saturday,DMT-G025,Green Line,Satguru Ram Singh Marg,4,Technical Fault,Cloudy,Low,142,0,0,9
2026-01-07,18:03,Wednesday,DMT-G015,Violet Line,Govindpuri,5,Technical Fault,Foggy,Low,214,1,0,8
2026-01-13,22:19,Tuesday,DMT-V014,Red Line,Keshav Puram,10,Door Malfunction,Smoggy,Medium,452,0,0,17
2026-02-23,06:41,Monday,DMT-Y025,Green Line,Satguru Ram Singh Marg,5,Door Malfunction,Cloudy,Low,196,0,0,17
2026-02-13,19:24,Friday,DMT-V015,Violet Line,Badkhal Mor,7,Door Malfunction,Cloudy,Low,270,1,0,9
2026-01-23,13:37,Friday,DMT-G018,Yellow Line,Udyog Bhawan,3,Overcrowding,Foggy,Low,123,0,0,5
2026-01-17,08:32,Saturday,DMT-V013,Red Line,Inderlok,10,Weather Disruption,Cloudy,Medium,384,1,0,14
2026-01-07,12:06,Wednesday,DMT-B010,Violet Line,Janpath,29,Overcrowding,Clear,High,1044,0,0,40
2026-02-08,22:24,Sunday,DMT-B009,Red Line,Rohini West,22,Weather Disruption,Clear,High,1007,0,1,31
2026-02-01,17:31,Sunday,DMT-V006,Yellow Line,Vishwavidyalaya,6,Passenger Emergency,Clear,Low,230,1,1,11
2026-02-04,10:39,Wednesday,DMT-B015,Yellow Line,Kashmere Gate,11,Overcrowding,Clear,Medium,411,1,0,16
2026-02-12,08:28,Thursday,DMT-B010,Green Line,Rajdhani Park,20,Overcrowding,Foggy,High,804,1,0,24
2026-02-19,20:58,Thursday,DMT-G015,Green Line,Punjabi Bagh,21,Technical Fault,Clear,High,861,0,0,23
2026-02-05,11:00,Thursday,DMT-B010,Yellow Line,Vishwavidyalaya,5,Passenger Emergency,Cloudy,Low,192,0,0,15
2026-02-14,05:34,Saturday,DMT-V002,Blue Line,Noida Sector 16,12,Platform Crowding,Clear,Medium,484,0,0,17
2026-01-06,07:27,Tuesday,DMT-R014,Red Line,Tis Hazari,31,Overcrowding,Foggy,High,1134,0,0,35
2026-02-28,20:18,Saturday,DMT-G023,Red Line,Pitampura,20,Signal Failure,Rainy,High,788,0,0,29
2026-01-30,11:47,Friday,DMT-Y024,Red Line,Rohini West,18,Passenger Emergency,Clear,Medium,687,0,0,29
2026-02-06,14:12,Friday,DMT-G024,Violet Line,Moolchand,41,Track Maintenance,Foggy,High,1787,0,0,44
2026-01-12,14:44,Monday,DMT-Y008,Violet Line,Harkesh Nagar Okhla,17,Weather Disruption,Clear,Medium,785,0,0,20
2026-01-26,12:09,Monday,DMT-B015,Green Line,Rajdhani Park,15,Platform Crowding,Clear,Medium,651,0,1,27
